Source:_Assumed	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES432	Portugal	1	20000
ES432	Portugal	2	20000
ES432	Portugal	3	20000
ES432	Portugal	4	20000
ES432	Portugal	5	20000
ES432	Portugal	6	20000
ES432	Portugal	7	20000
ES511	ES512	1	20000
ES511	ES512	2	20000
ES511	ES512	3	20000
ES511	ES512	4	20000
ES511	ES512	5	20000
ES511	ES512	6	20000
ES511	ES512	7	20000
ES511	ES513	1	20000
ES511	ES513	2	20000
ES511	ES513	3	20000
ES511	ES513	4	20000
ES511	ES513	5	20000
ES511	ES513	6	20000
ES511	ES513	7	20000
ES511	ES514	1	20000
ES511	ES514	2	20000
ES511	ES514	3	20000
ES511	ES514	4	20000
ES511	ES514	5	20000
ES511	ES514	6	20000
ES511	ES514	7	20000
ES512	ES513	1	20000
ES512	ES513	2	20000
ES512	ES513	3	20000
ES512	ES513	4	20000
ES512	ES513	5	20000
ES512	ES513	6	20000
ES512	ES513	7	20000
ES512	France	1	20000
ES512	France	2	20000
ES512	France	3	20000
ES512	France	4	20000
ES512	France	5	20000
ES512	France	6	20000
ES512	France	7	20000
ES513	ES514	1	20000
ES513	ES514	2	20000
ES513	ES514	3	20000
ES513	ES514	4	20000
ES513	ES514	5	20000
ES513	ES514	6	20000
ES513	ES514	7	20000
ES513	France	1	20000
ES513	France	2	20000
ES513	France	3	20000
ES513	France	4	20000
ES513	France	5	20000
ES513	France	6	20000
ES513	France	7	20000
ES514	ES522	1	20000
ES514	ES522	2	20000
ES514	ES522	3	20000
ES514	ES522	4	20000
ES514	ES522	5	20000
ES514	ES522	6	20000
ES514	ES522	7	20000
ES521	ES523	1	20000
ES521	ES523	2	20000
ES521	ES523	3	20000
ES521	ES523	4	20000
ES521	ES523	5	20000
ES521	ES523	6	20000
ES521	ES523	7	20000
ES521	ES620	1	20000
ES521	ES620	2	20000
ES521	ES620	3	20000
ES521	ES620	4	20000
ES521	ES620	5	20000
ES521	ES620	6	20000
ES521	ES620	7	20000
ES522	ES523	1	20000
ES522	ES523	2	20000
ES522	ES523	3	20000
ES522	ES523	4	20000
ES522	ES523	5	20000
ES522	ES523	6	20000
ES522	ES523	7	20000
ES523	ES532	1	20000
ES523	ES532	2	20000
ES523	ES532	3	20000
ES523	ES532	4	20000
ES523	ES532	5	20000
ES523	ES532	6	20000
ES523	ES532	7	20000
ES611	ES614	1	20000
ES611	ES614	2	20000
ES611	ES614	3	20000
ES611	ES614	4	20000
ES611	ES614	5	20000
ES611	ES614	6	20000
ES611	ES614	7	20000
ES611	ES620	1	20000
ES611	ES620	2	20000
ES611	ES620	3	20000
ES611	ES620	4	20000
ES611	ES620	5	20000
ES611	ES620	6	20000
ES611	ES620	7	20000
ES612	ES615	1	20000
ES612	ES615	2	20000
ES612	ES615	3	20000
ES612	ES615	4	20000
ES612	ES615	5	20000
ES612	ES615	6	20000
ES612	ES615	7	20000
ES612	ES617	1	20000
ES612	ES617	2	20000
ES612	ES617	3	20000
ES612	ES617	4	20000
ES612	ES617	5	20000
ES612	ES617	6	20000
ES612	ES617	7	20000
ES612	ES618	1	20000
ES612	ES618	2	20000
ES612	ES618	3	20000
ES612	ES618	4	20000
ES612	ES618	5	20000
ES612	ES618	6	20000
ES612	ES618	7	20000
ES613	ES614	1	20000
ES613	ES614	2	20000
ES613	ES614	3	20000
ES613	ES614	4	20000
ES613	ES614	5	20000
ES613	ES614	6	20000
ES613	ES614	7	20000
ES613	ES616	1	20000
ES613	ES616	2	20000
ES613	ES616	3	20000
ES613	ES616	4	20000
ES613	ES616	5	20000
ES613	ES616	6	20000
ES613	ES616	7	20000
ES613	ES617	1	20000
ES613	ES617	2	20000
ES613	ES617	3	20000
ES613	ES617	4	20000
ES613	ES617	5	20000
ES613	ES617	6	20000
ES613	ES617	7	20000
ES613	ES618	1	20000
ES613	ES618	2	20000
ES613	ES618	3	20000
ES613	ES618	4	20000
ES613	ES618	5	20000
ES613	ES618	6	20000
ES613	ES618	7	20000
ES614	ES616	1	20000
ES614	ES616	2	20000
ES614	ES616	3	20000
ES614	ES616	4	20000
ES614	ES616	5	20000
ES614	ES616	6	20000
ES614	ES616	7	20000
ES614	ES617	1	20000
ES614	ES617	2	20000
ES614	ES617	3	20000
ES614	ES617	4	20000
ES614	ES617	5	20000
ES614	ES617	6	20000
ES614	ES617	7	20000
ES614	ES620	1	20000
ES614	ES620	2	20000
ES614	ES620	3	20000
ES614	ES620	4	20000
ES614	ES620	5	20000
ES614	ES620	6	20000
ES614	ES620	7	20000
ES615	ES618	1	20000
ES615	ES618	2	20000
ES615	ES618	3	20000
ES615	ES618	4	20000
ES615	ES618	5	20000
ES615	ES618	6	20000
ES615	ES618	7	20000
ES615	Portugal	1	20000
ES615	Portugal	2	20000
ES615	Portugal	3	20000
ES615	Portugal	4	20000
ES615	Portugal	5	20000
ES615	Portugal	6	20000
ES615	Portugal	7	20000
ES617	ES618	1	20000
ES617	ES618	2	20000
ES617	ES618	3	20000
ES617	ES618	4	20000
ES617	ES618	5	20000
ES617	ES618	6	20000
ES617	ES618	7	20000
EU	France	1	20000
EU	France	2	20000
EU	France	3	20000
EU	France	4	20000
EU	France	5	20000
EU	France	6	20000
EU	France	7	20000
EU	Italy	1	20000
EU	Italy	2	20000
EU	Italy	3	20000
EU	Italy	4	20000
EU	Italy	5	20000
EU	Italy	6	20000
EU	Italy	7	20000
France	Italy	1	20000
France	Italy	2	20000
France	Italy	3	20000
France	Italy	4	20000
France	Italy	5	20000
France	Italy	6	20000
France	Italy	7	20000
ES113	ES111	1	20000
ES113	ES111	2	20000
ES113	ES111	3	20000
ES113	ES111	4	20000
ES113	ES111	5	20000
ES113	ES111	6	20000
ES113	ES111	7	20000
ES422	ES432	1	20000
ES422	ES432	2	20000
ES422	ES432	3	20000
ES422	ES432	4	20000
ES422	ES432	5	20000
ES422	ES432	6	20000
ES422	ES432	7	20000
ES618	ES422	1	20000
ES618	ES422	2	20000
ES618	ES422	3	20000
ES618	ES422	4	20000
ES618	ES422	5	20000
ES618	ES422	6	20000
ES618	ES422	7	20000
ES213	France	1	20000
ES213	France	2	20000
ES213	France	3	20000
ES213	France	4	20000
ES213	France	5	20000
ES213	France	6	20000
ES213	France	7	20000
ES511	Italy	1	20000
ES511	Italy	2	20000
ES511	Italy	3	20000
ES511	Italy	4	20000
ES511	Italy	5	20000
ES511	Italy	6	20000
ES511	Italy	7	20000
ES523	Italy	1	20000
ES523	Italy	2	20000
ES523	Italy	3	20000
ES523	Italy	4	20000
ES523	Italy	5	20000
ES523	Italy	6	20000
ES523	Italy	7	20000
