ES111,ES112,ES113,ES120,ES213,ES230,ES241,ES243,ES413,ES415,ES418,ES419,ES425,ES431,ES432,ES511,ES512,ES513,ES514,ES523,ES613,ES614,ES615,ES616,ES617,ES618,FR,PT,time,hour,dayofweek,month,EU
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.788624892,0.339162276,19/01/2015 11:00,11,0,1,0.423394278949889
0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.617,0.763387911,0.341067892,19/01/2015 12:00,12,0,1,0.4161334957106076
0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.6025,0.730272067,0.282217988,19/01/2015 13:00,13,0,1,0.4168857613098083
0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.705035086,0.288457946,19/01/2015 14:00,14,0,1,0.4326608793541778
0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.6095,0.715622307,0.327616485,19/01/2015 15:00,15,0,1,0.4473264592079871
0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.779761172,0.297238725,19/01/2015 16:00,16,0,1,0.4762845396348208
0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.803028438,0.297612375,19/01/2015 17:00,17,0,1,0.4767007948741906
0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.5535,0.806352333,0.390314987,19/01/2015 18:00,18,0,1,0.463081723645397
0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.755755263,0.345439599,19/01/2015 19:00,19,0,1,0.4434050662846458
0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.6265,0.714021913,0.329708927,19/01/2015 20:00,20,0,1,0.4138036589953786
0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.6125,0.723747384,0.384336584,19/01/2015 21:00,21,0,1,0.4048515490719647
0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.5935,0.709343838,0.309606546,19/01/2015 22:00,22,0,1,0.3939347359442002
0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.5525,0.680290533,0.279976086,19/01/2015 23:00,23,0,1,0.3776592983217419
0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.501,0.652098978,0.254007398,20/01/2015 00:00,0,1,1,0.3641838277177369
0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.4725,0.640403792,0.203714083,20/01/2015 01:00,1,1,1,0.3562524064215715
0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.4685,0.624769174,0.160445391,20/01/2015 02:00,2,1,1,0.3548815430857547
0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.630185892,0.145499383,20/01/2015 03:00,3,1,1,0.3590180448736115
0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.641265542,0.17733438,20/01/2015 04:00,4,1,1,0.3729422477133577
0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.674873815,0.182079737,20/01/2015 05:00,5,1,1,0.3981027215583715
0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.748738151,0.303105033,20/01/2015 06:00,6,1,1,0.4251748032901652
0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.776191062,0.334005904,20/01/2015 07:00,7,1,1,0.4485053653950799
0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.6385,0.805490582,0.360198782,20/01/2015 08:00,8,1,1,0.4531205782736608
0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.6425,0.803890188,0.489033367,20/01/2015 09:00,9,1,1,0.4462109301856587
0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.8109073,0.506183911,20/01/2015 10:00,10,1,1,0.4379899591902888
0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.801428044,0.460299667,20/01/2015 11:00,11,1,1,0.4247836460447605
0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.784193032,0.429473527,20/01/2015 12:00,12,1,1,0.4219280404098074
0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.6295,0.760925766,0.404775249,20/01/2015 13:00,13,1,1,0.4296184960437194
0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.726086421,0.47558196,20/01/2015 14:00,14,1,1,0.437638212255658
0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.759694694,0.41579793,20/01/2015 15:00,15,1,1,0.4485371322883346
0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.635,0.77631417,0.467062736,20/01/2015 16:00,16,1,1,0.4736503093947216
0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.79847347,0.49411501,20/01/2015 17:00,17,1,1,0.4748609734006179
0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.794534039,0.534207675,20/01/2015 18:00,18,1,1,0.4606595296759793
0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.742090361,0.538056272,20/01/2015 19:00,19,1,1,0.4388658817036566
0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.685214822,0.576504876,20/01/2015 20:00,20,1,1,0.4150589334923073
0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.685461037,0.642379404,20/01/2015 21:00,21,1,1,0.4057651786884282
0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.5895,0.683491321,0.581138138,20/01/2015 22:00,22,1,1,0.3914208704620956
0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.5545,0.657885018,0.394462504,20/01/2015 23:00,23,1,1,0.3723711811728752
0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.63117075,0.32705601,21/01/2015 00:00,0,2,1,0.3623747171357834
0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.4885,0.616028561,0.25737025,21/01/2015 01:00,1,2,1,0.3537906650962513
0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.60273298,0.212345402,21/01/2015 02:00,2,2,1,0.3507778734474979
0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.4775,0.589560507,0.151365691,21/01/2015 03:00,3,2,1,0.34938614996054
0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.595346547,0.19773568,21/01/2015 04:00,4,2,1,0.3652776387791269
0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.4865,0.613073987,0.252101782,21/01/2015 05:00,5,2,1,0.3966455584289371
0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.685337929,0.382617793,21/01/2015 06:00,6,2,1,0.4219893469009265
0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.753539333,0.33643463,21/01/2015 07:00,7,2,1,0.4448286606846808
0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.782223317,0.420954303,21/01/2015 08:00,8,2,1,0.4495658503123724
0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.779145636,0.380936367,21/01/2015 09:00,9,2,1,0.4448020260036068
0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.652,0.772374738,0.350932257,21/01/2015 10:00,10,2,1,0.4328268582884572
0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.647,0.759079158,0.321376527,21/01/2015 11:00,11,2,1,0.4181432679172361
0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.6365,0.742213468,0.310316482,21/01/2015 12:00,12,2,1,0.4135128113986917
0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.6275,0.71414502,0.336845645,21/01/2015 13:00,13,2,1,0.4188072510668192
0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.716730272,0.365056234,21/01/2015 14:00,14,2,1,0.4262677678805674
0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.716114736,0.376900945,21/01/2015 15:00,15,2,1,0.4411912953949951
0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.739751323,0.377835071,21/01/2015 16:00,16,2,1,0.4641451751729424
0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.791210144,0.38556963,21/01/2015 17:00,17,2,1,0.469034173013772
0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.781853995,0.392033778,21/01/2015 18:00,18,2,1,0.45591402710729
0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.748491936,0.397526436,21/01/2015 19:00,19,2,1,0.4314933086264633
0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.6225,0.669703312,0.374434854,21/01/2015 20:00,20,2,1,0.4028829437240051
0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.6105,0.654314908,0.38586855,21/01/2015 21:00,21,2,1,0.391396127507771
0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.668102918,0.344654934,21/01/2015 22:00,22,2,1,0.3809606865760836
0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.5135,0.64668226,0.233755558,21/01/2015 23:00,23,2,1,0.3760568057724183
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.62673889,0.263610208,22/01/2015 00:00,0,3,1,0.362710178662261
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.614920596,0.192467212,22/01/2015 01:00,1,3,1,0.3497086417398063
0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.494,0.602363659,0.152337182,22/01/2015 02:00,2,3,1,0.3469944669744806
0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.4985,0.590299151,0.174233083,22/01/2015 03:00,3,3,1,0.3468650617015112
0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.57700357,0.146171954,22/01/2015 04:00,4,3,1,0.3584832933715406
0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.4965,0.624399852,0.200799611,22/01/2015 05:00,5,3,1,0.382089315976815
0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.5185,0.69727933,0.294660539,22/01/2015 06:00,6,3,1,0.4133606634205298
0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.5515,0.746276006,0.275865934,22/01/2015 07:00,7,3,1,0.4318518647665657
0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.5855,0.772128524,0.360273512,22/01/2015 08:00,8,3,1,0.4391313316750776
0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.579,0.78074603,0.398722116,22/01/2015 09:00,9,3,1,0.4330358443202344
0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.6175,0.765234519,0.364757314,22/01/2015 10:00,10,3,1,0.4208142378468185
0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.5775,0.755016619,0.368680641,22/01/2015 11:00,11,3,1,0.4093761375805416
0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.5865,0.740613074,0.330232037,22/01/2015 12:00,12,3,1,0.4010358325361879
0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.5715,0.710574911,0.288084295,22/01/2015 13:00,13,3,1,0.4061152475392438
0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.699249046,0.333146508,22/01/2015 14:00,14,3,1,0.4132461605196296
0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.5835,0.712175305,0.303628143,22/01/2015 15:00,15,3,1,0.4424531587984783
0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.753416226,0.318910436,22/01/2015 16:00,16,3,1,0.4666504795081933
0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.6135,0.781238459,0.348129881,22/01/2015 17:00,17,3,1,0.4694693337981285
0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.6075,0.798965899,0.355191869,22/01/2015 18:00,18,3,1,0.4549422785654236
0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.757109442,0.375219519,22/01/2015 19:00,19,3,1,0.425714170095106
0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.676597316,0.327467025,22/01/2015 20:00,20,3,1,0.4020330177379994
0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.6185,0.677089745,0.313567238,22/01/2015 21:00,21,3,1,0.3887738032575106
0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.5665,0.663424843,0.234278668,22/01/2015 22:00,22,3,1,0.3741600687985324
0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.638310969,0.24851474,22/01/2015 23:00,23,3,1,0.3680532714525474
0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.515,0.621322172,0.22699249,23/01/2015 00:00,0,4,1,0.3493856414075643
0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.609134556,0.192728767,23/01/2015 01:00,1,4,1,0.3411772027435856
0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.502,0.596823834,0.16915144,23/01/2015 02:00,2,4,1,0.3370635147339314
0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.5015,0.596577619,0.150655756,23/01/2015 03:00,3,4,1,0.3394779208713948
