Timestep,Import_FR_MW,Import_PT_MW
410,9652.894209322214,-4478.791345529955
411,9652.894209322214,-4478.791345529955
412,9652.894209322214,-1386.142128265512
413,9652.894209322214,-1386.142128265512
414,9652.894209322214,-1288.4115032785303
415,9652.894209322214,-1288.4115032785303
416,9652.894209322214,-2996.6446372480787
417,9652.894209322214,-2996.6446372480787
418,3279.3099650584936,-1205.2163486591562
419,3279.3099650584936,-1205.2163486591562
420,-9652.894209322214,-82.90618626388641
421,-9652.894209322214,-82.90618626388641
422,-2428.048098127818,-391.35502760858617
423,-2428.048098127818,-391.35502760858617
424,9652.894209322214,-2981.014083789809
425,9652.894209322214,-2981.014083789809
426,9652.894209322214,100.0294540869636
427,9652.894209322214,100.0294540869636
428,9652.894209322214,-4419.597704047186
429,9652.894209322214,-4419.597704047186
430,9652.894209322214,-4404.915323214187
431,9652.894209322214,-4404.915323214187
432,9652.894209322214,-1282.4934514004271
433,9652.894209322214,-1282.4934514004271
434,9652.894209322214,-1279.7903577399738
435,9652.894209322214,-1279.7903577399738
436,9652.894209322214,-2655.756324631262
437,9652.894209322214,-2655.756324631262
438,9652.894209322214,-656.0718725172974
439,9652.894209322214,-656.0718725172974
440,9652.894209322214,-1769.9705563746993
441,9652.894209322214,-1769.9705563746993
442,5266.334820876176,-3315.299440262819
443,5266.334820876176,-3315.299440262819
444,-1721.2918854942218,-2737.900864595593
445,-1721.2918854942218,-2737.900864595593
446,1914.6802842806119,-3377.2028580047863
447,1914.6802842806119,-3377.2028580047863
448,6848.108684210161,-1307.2209454468011
449,6848.108684210161,-1307.2209454468011
450,9652.894209322214,-3153.3454520080777
451,9652.894209322214,-3153.3454520080777
452,9652.894209322214,-2148.527778875048
453,9652.894209322214,-2148.527778875048
454,9652.894209322214,-791.6198669325695
455,9652.894209322214,-791.6198669325695
456,9652.894209322214,-2162.857839997354
457,9652.894209322214,-2162.857839997354
458,9652.894209322214,-1997.3523752873298
459,9652.894209322214,-1997.3523752873298
460,9652.894209322214,-4597.651169197736
461,9652.894209322214,-4597.651169197736
462,9652.894209322214,-585.3510150936036
463,9652.894209322214,-585.3510150936036
464,9652.894209322214,-4438.5158563421755
465,9652.894209322214,-4438.5158563421755
466,3181.648184541853,-2198.8373317421265
467,3181.648184541853,-2198.8373317421265
468,-9652.894209322214,-926.939591368513
469,-9652.894209322214,-926.939591368513
470,-9407.88762491772,-1348.2002741690103
471,-9407.88762491772,-1348.2002741690103
472,-7957.06119613396,-363.6656782094651
473,-7957.06119613396,-363.6656782094651
474,9652.894209322214,-3428.1231039444774
475,9652.894209322214,-3428.1231039444774
476,9652.894209322214,-2497.7569157551206
477,9652.894209322214,-2497.7569157551206
478,9652.894209322214,-2990.190561438616
479,9652.894209322214,-2990.190561438616
480,9652.894209322214,-1486.0766265391503
481,9652.894209322214,-1486.0766265391503
482,9652.894209322214,-1191.9680082641971
483,9652.894209322214,-1191.9680082641971
484,9652.894209322214,-3774.6230624957734
485,9652.894209322214,-3774.6230624957734
486,8363.649814411388,-2769.0113382054387
487,8363.649814411388,-2769.0113382054387
488,-9464.799075412418,-522.7367836207322
489,-9464.799075412418,-522.7367836207322
490,-9652.894209322214,-2013.456913841108
491,-9652.894209322214,-2013.456913841108
492,-9652.894209322214,-1335.0091729604137
493,-9652.894209322214,-1335.0091729604137
494,-9652.894209322214,-2032.007201779883
495,-9652.894209322214,-2032.007201779883
496,-4718.22126307998,-4487.266428410443
497,-4718.22126307998,-4487.266428410443
498,953.3305403794802,-4026.414107420287
499,953.3305403794802,-4026.414107420287
500,8335.21077928884,-5100.539601734943
501,8335.21077928884,-5100.539601734943
502,9652.894209322214,-4442.591223531641
503,9652.894209322214,-4442.591223531641
504,7710.184730102708,-4192.255109493015
