Model Version,Region,Unit,Year,Value
Go RES v1.2.0,UK,€/tCO2,2050,3903.76
Go RES v1.2.0,UK,€/tCO2,2055,5646.94
REPowerEU++ v1.2.0,AT,€/tCO2,2018,143.55
REPowerEU++ v1.2.0,AT,€/tCO2,2025,231.85
REPowerEU++ v1.2.0,AT,€/tCO2,2030,169.55
REPowerEU++ v1.2.0,AT,€/tCO2,2035,311.89
REPowerEU++ v1.2.0,AT,€/tCO2,2040,401.42
REPowerEU++ v1.2.0,AT,€/tCO2,2045,552.92
REPowerEU++ v1.2.0,AT,€/tCO2,2050,623.54
REPowerEU++ v1.2.0,AT,€/tCO2,2055,738.62
REPowerEU++ v1.2.0,BE,€/tCO2,2018,143.55
REPowerEU++ v1.2.0,BE,€/tCO2,2025,237.03
REPowerEU++ v1.2.0,BE,€/tCO2,2030,213.79
REPowerEU++ v1.2.0,BE,€/tCO2,2035,322.45
REPowerEU++ v1.2.0,BE,€/tCO2,2040,395.52
REPowerEU++ v1.2.0,BE,€/tCO2,2045,534.24
REPowerEU++ v1.2.0,BE,€/tCO2,2050,597.79
REPowerEU++ v1.2.0,BE,€/tCO2,2055,738.32
REPowerEU++ v1.2.0,BG,€/tCO2,2018,132.04
REPowerEU++ v1.2.0,BG,€/tCO2,2025,236.32
REPowerEU++ v1.2.0,BG,€/tCO2,2030,218.64
REPowerEU++ v1.2.0,BG,€/tCO2,2035,319.96
REPowerEU++ v1.2.0,BG,€/tCO2,2040,390.66
REPowerEU++ v1.2.0,BG,€/tCO2,2045,545.64
REPowerEU++ v1.2.0,BG,€/tCO2,2050,651.23
REPowerEU++ v1.2.0,BG,€/tCO2,2055,737.29
REPowerEU++ v1.2.0,CH,€/tCO2,2018,143.55
REPowerEU++ v1.2.0,CH,€/tCO2,2025,231.61
REPowerEU++ v1.2.0,CH,€/tCO2,2030,212.67
REPowerEU++ v1.2.0,CH,€/tCO2,2035,290.38
REPowerEU++ v1.2.0,CH,€/tCO2,2040,401.56
REPowerEU++ v1.2.0,CH,€/tCO2,2045,540.71
REPowerEU++ v1.2.0,CH,€/tCO2,2050,644.79
REPowerEU++ v1.2.0,CH,€/tCO2,2055,738.18
REPowerEU++ v1.2.0,CZ,€/tCO2,2018,143.55
REPowerEU++ v1.2.0,CZ,€/tCO2,2025,232.15
REPowerEU++ v1.2.0,CZ,€/tCO2,2030,209.78
REPowerEU++ v1.2.0,CZ,€/tCO2,2035,323.78
REPowerEU++ v1.2.0,CZ,€/tCO2,2040,399.35
REPowerEU++ v1.2.0,CZ,€/tCO2,2045,534.84
REPowerEU++ v1.2.0,CZ,€/tCO2,2050,659.16
REPowerEU++ v1.2.0,CZ,€/tCO2,2055,724.91
REPowerEU++ v1.2.0,DE,€/tCO2,2018,143.55
REPowerEU++ v1.2.0,DE,€/tCO2,2025,232.18
REPowerEU++ v1.2.0,DE,€/tCO2,2030,171.98
REPowerEU++ v1.2.0,DE,€/tCO2,2035,322.38
REPowerEU++ v1.2.0,DE,€/tCO2,2040,401.6
REPowerEU++ v1.2.0,DE,€/tCO2,2045,527.93
REPowerEU++ v1.2.0,DE,€/tCO2,2050,665.23
REPowerEU++ v1.2.0,DE,€/tCO2,2055,737.21
REPowerEU++ v1.2.0,DK,€/tCO2,2018,107.81
REPowerEU++ v1.2.0,DK,€/tCO2,2025,216.72
REPowerEU++ v1.2.0,DK,€/tCO2,2030,184.27
REPowerEU++ v1.2.0,DK,€/tCO2,2035,307.43
REPowerEU++ v1.2.0,DK,€/tCO2,2040,401.66
REPowerEU++ v1.2.0,DK,€/tCO2,2045,538.05
REPowerEU++ v1.2.0,DK,€/tCO2,2050,651.67
REPowerEU++ v1.2.0,DK,€/tCO2,2055,722.21
REPowerEU++ v1.2.0,EE,€/tCO2,2018,88.55
REPowerEU++ v1.2.0,EE,€/tCO2,2025,186.78
REPowerEU++ v1.2.0,EE,€/tCO2,2030,207.12
REPowerEU++ v1.2.0,EE,€/tCO2,2035,310.23
REPowerEU++ v1.2.0,EE,€/tCO2,2040,364.32
REPowerEU++ v1.2.0,EE,€/tCO2,2045,552.65
REPowerEU++ v1.2.0,EE,€/tCO2,2050,677.27
REPowerEU++ v1.2.0,EE,€/tCO2,2055,770.1
REPowerEU++ v1.2.0,ES,€/tCO2,2018,143.55
REPowerEU++ v1.2.0,ES,€/tCO2,2025,231.28
REPowerEU++ v1.2.0,ES,€/tCO2,2030,210.24
REPowerEU++ v1.2.0,ES,€/tCO2,2035,314.79
REPowerEU++ v1.2.0,ES,€/tCO2,2040,384.08
REPowerEU++ v1.2.0,ES,€/tCO2,2045,544.98
REPowerEU++ v1.2.0,ES,€/tCO2,2050,667.46
REPowerEU++ v1.2.0,ES,€/tCO2,2055,727.2
REPowerEU++ v1.2.0,FI,€/tCO2,2018,73.59
REPowerEU++ v1.2.0,FI,€/tCO2,2025,237.09
REPowerEU++ v1.2.0,FI,€/tCO2,2030,210.81
REPowerEU++ v1.2.0,FI,€/tCO2,2035,305.93
REPowerEU++ v1.2.0,FI,€/tCO2,2040,368.98
REPowerEU++ v1.2.0,FI,€/tCO2,2045,458.11
REPowerEU++ v1.2.0,FI,€/tCO2,2050,686.3
REPowerEU++ v1.2.0,FI,€/tCO2,2055,756.25
REPowerEU++ v1.2.0,FR,€/tCO2,2018,143.55
REPowerEU++ v1.2.0,FR,€/tCO2,2025,231.59
REPowerEU++ v1.2.0,FR,€/tCO2,2030,178.15
REPowerEU++ v1.2.0,FR,€/tCO2,2035,319.06
REPowerEU++ v1.2.0,FR,€/tCO2,2040,401.75
REPowerEU++ v1.2.0,FR,€/tCO2,2045,566.95
REPowerEU++ v1.2.0,FR,€/tCO2,2050,606.96
REPowerEU++ v1.2.0,FR,€/tCO2,2055,738.13
REPowerEU++ v1.2.0,GR,€/tCO2,2018,271.16
REPowerEU++ v1.2.0,GR,€/tCO2,2025,231.9
REPowerEU++ v1.2.0,GR,€/tCO2,2030,224.94
REPowerEU++ v1.2.0,GR,€/tCO2,2035,318.57
REPowerEU++ v1.2.0,GR,€/tCO2,2040,390.13
REPowerEU++ v1.2.0,GR,€/tCO2,2045,552.31
REPowerEU++ v1.2.0,GR,€/tCO2,2050,674.34
REPowerEU++ v1.2.0,GR,€/tCO2,2055,730.82
REPowerEU++ v1.2.0,HR,€/tCO2,2018,143.57
REPowerEU++ v1.2.0,HR,€/tCO2,2025,231.79
REPowerEU++ v1.2.0,HR,€/tCO2,2030,206.52
REPowerEU++ v1.2.0,HR,€/tCO2,2035,320
REPowerEU++ v1.2.0,HR,€/tCO2,2040,396.31
REPowerEU++ v1.2.0,HR,€/tCO2,2045,539.29
REPowerEU++ v1.2.0,HR,€/tCO2,2050,669.56
REPowerEU++ v1.2.0,HR,€/tCO2,2055,734.94
REPowerEU++ v1.2.0,HU,€/tCO2,2018,143.53
REPowerEU++ v1.2.0,HU,€/tCO2,2025,231.91
REPowerEU++ v1.2.0,HU,€/tCO2,2030,224.94
REPowerEU++ v1.2.0,HU,€/tCO2,2035,322.41
REPowerEU++ v1.2.0,HU,€/tCO2,2040,381.56
REPowerEU++ v1.2.0,HU,€/tCO2,2045,532.83
REPowerEU++ v1.2.0,HU,€/tCO2,2050,551.36
REPowerEU++ v1.2.0,HU,€/tCO2,2055,738.86
REPowerEU++ v1.2.0,IE,€/tCO2,2018,143.55
REPowerEU++ v1.2.0,IE,€/tCO2,2025,215.4
REPowerEU++ v1.2.0,IE,€/tCO2,2030,246.63
REPowerEU++ v1.2.0,IE,€/tCO2,2035,315.69
REPowerEU++ v1.2.0,IE,€/tCO2,2040,387.81
REPowerEU++ v1.2.0,IE,€/tCO2,2045,547.31
REPowerEU++ v1.2.0,IE,€/tCO2,2050,664.98
REPowerEU++ v1.2.0,IE,€/tCO2,2055,736.5
REPowerEU++ v1.2.0,IT,€/tCO2,2018,143.55
REPowerEU++ v1.2.0,IT,€/tCO2,2025,231.61
REPowerEU++ v1.2.0,IT,€/tCO2,2030,121.46
REPowerEU++ v1.2.0,IT,€/tCO2,2035,316.27
REPowerEU++ v1.2.0,IT,€/tCO2,2040,382.67
REPowerEU++ v1.2.0,IT,€/tCO2,2045,541.25
REPowerEU++ v1.2.0,IT,€/tCO2,2050,674.95
REPowerEU++ v1.2.0,IT,€/tCO2,2055,738.86
REPowerEU++ v1.2.0,LT,€/tCO2,2018,76.65
REPowerEU++ v1.2.0,LT,€/tCO2,2025,220.02
REPowerEU++ v1.2.0,LT,€/tCO2,2030,209.08
REPowerEU++ v1.2.0,LT,€/tCO2,2035,317.77
REPowerEU++ v1.2.0,LT,€/tCO2,2040,375.43
REPowerEU++ v1.2.0,LT,€/tCO2,2045,555.33
REPowerEU++ v1.2.0,LT,€/tCO2,2050,675.5
REPowerEU++ v1.2.0,LT,€/tCO2,2055,738.62
REPowerEU++ v1.2.0,LU,€/tCO2,2018,152.35
REPowerEU++ v1.2.0,LU,€/tCO2,2025,174.98
REPowerEU++ v1.2.0,LU,€/tCO2,2030,208.49
REPowerEU++ v1.2.0,LU,€/tCO2,2035,315.34
REPowerEU++ v1.2.0,LU,€/tCO2,2040,328.92
REPowerEU++ v1.2.0,LU,€/tCO2,2045,533.75
REPowerEU++ v1.2.0,LU,€/tCO2,2050,665.18
REPowerEU++ v1.2.0,LU,€/tCO2,2055,738.38
REPowerEU++ v1.2.0,LV,€/tCO2,2018,76.65
REPowerEU++ v1.2.0,LV,€/tCO2,2025,96.17
REPowerEU++ v1.2.0,LV,€/tCO2,2030,222.42
REPowerEU++ v1.2.0,LV,€/tCO2,2035,304.1
REPowerEU++ v1.2.0,LV,€/tCO2,2040,379.04
REPowerEU++ v1.2.0,LV,€/tCO2,2045,542.31
REPowerEU++ v1.2.0,LV,€/tCO2,2050,674.78
REPowerEU++ v1.2.0,LV,€/tCO2,2055,699.76
REPowerEU++ v1.2.0,NL,€/tCO2,2018,143.55
REPowerEU++ v1.2.0,NL,€/tCO2,2025,237.06
REPowerEU++ v1.2.0,NL,€/tCO2,2030,211.18
REPowerEU++ v1.2.0,NL,€/tCO2,2035,324.67
