Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
244,2.7110390000000005e6,5.276607144761602e6,0.0,0.0,0.0,0.0
245,2.7113080000000005e6,5.27794195799274e6,0.0,0.0,0.0,0.0
246,2.7115770000000005e6,5.279276771223877e6,0.0,0.0,0.0,0.0
247,2.7120565000000005e6,5.280611584455013e6,0.0,0.0,0.0,0.0
248,2.7125360000000005e6,5.281946397686151e6,0.0,0.0,0.0,0.0
249,2.7133015000000005e6,5.283281210917288e6,0.0,0.0,0.0,0.0
250,2.7140670000000005e6,5.284616024148425e6,0.0,0.0,0.0,0.0
251,2.7148125000000005e6,5.285950837379562e6,0.0,0.0,0.0,0.0
252,2.7155580000000005e6,5.287285650610699e6,0.0,0.0,0.0,0.0
253,2.7157795000000005e6,5.288620463841837e6,0.0,0.0,0.0,0.0
254,2.7160010000000005e6,5.289955277072974e6,0.0,0.0,0.0,0.0
255,2.7163955000000005e6,5.29129009030411e6,0.0,0.0,0.0,0.0
256,2.7167900000000005e6,5.292624903535248e6,0.0,0.0,0.0,0.0
257,2.7178135000000005e6,5.293959716766385e6,0.0,0.0,0.0,0.0
258,2.7188370000000005e6,5.295294529997522e6,0.0,0.0,0.0,0.0
259,2.7200380000000005e6,5.296629343228659e6,0.0,0.0,0.0,0.0
260,2.7212390000000005e6,5.297964156459796e6,0.0,0.0,0.0,0.0
261,2.7229165000000005e6,5.299298969690934e6,0.0,0.0,0.0,0.0
262,2.7245940000000005e6,5.3006337829220705e6,0.0,0.0,0.0,0.0
263,2.7253120000000005e6,5.301968596153207e6,0.0,0.0,0.0,0.0
264,2.7260300000000005e6,5.303303409384345e6,0.0,0.0,0.0,0.0
265,2.7264250000000005e6,5.304638222615482e6,0.0,0.0,0.0,0.0
266,2.7268200000000005e6,5.305973035846619e6,0.0,0.0,0.0,0.0
267,2.7273310000000005e6,5.307307849077756e6,0.0,0.0,0.0,0.0
268,2.7278420000000005e6,5.308642662308893e6,0.0,0.0,0.0,0.0
269,2.7290615000000005e6,5.309977475540031e6,0.0,0.0,0.0,0.0
270,2.7302810000000005e6,5.311312288771167e6,0.0,0.0,0.0,0.0
271,2.7324675000000005e6,5.312647102002304e6,0.0,0.0,0.0,0.0
272,2.7346540000000005e6,5.313981915233442e6,0.0,0.0,0.0,0.0
273,2.7369085000000005e6,5.315316728464579e6,0.0,0.0,0.0,0.0
274,2.7391630000000005e6,5.316651541695716e6,0.0,0.0,0.0,0.0
275,2.7416805000000005e6,5.3179863549268525e6,0.0,0.0,0.0,0.0
276,2.7441980000000005e6,5.31932116815799e6,0.0,0.0,0.0,0.0
277,2.7453845000000005e6,5.320655981389128e6,0.0,0.0,0.0,0.0
278,2.7465710000000005e6,5.321990794620264e6,0.0,0.0,0.0,0.0
279,2.7478770000000005e6,5.323325607851401e6,0.0,0.0,0.0,0.0
280,2.7491830000000005e6,5.324660421082539e6,0.0,0.0,0.0,0.0
281,2.7511755000000005e6,5.325995234313676e6,0.0,0.0,0.0,0.0
282,2.7531680000000005e6,5.327330047544813e6,0.0,0.0,0.0,0.0
283,2.7544840000000005e6,5.328664860775949e6,0.0,0.0,0.0,0.0
284,2.7558000000000005e6,5.329999674007087e6,0.0,0.0,0.0,0.0
285,2.7580310000000005e6,5.331334487238225e6,0.0,0.0,0.0,0.0
286,2.7602620000000005e6,5.332669300469361e6,0.0,0.0,0.0,0.0
287,2.7609640000000005e6,5.334004113700498e6,0.0,0.0,0.0,0.0
288,2.7616660000000005e6,5.3353389269316355e6,0.0,0.0,0.0,0.0
289,2.7619035000000005e6,5.336673740162773e6,0.0,0.0,0.0,0.0
290,2.7621410000000005e6,5.33800855339391e6,0.0,0.0,0.0,0.0
291,2.7623275000000005e6,5.339343366625046e6,0.0,0.0,0.0,0.0
292,2.7625140000000005e6,5.340678179856184e6,0.0,0.0,0.0,0.0
293,2.7628515000000005e6,5.3420129930873215e6,0.0,0.0,0.0,0.0
294,2.7631890000000005e6,5.343347806318458e6,0.0,0.0,0.0,0.0
295,2.7640470000000005e6,5.344682619549595e6,0.0,0.0,0.0,0.0
296,2.7649050000000005e6,5.346017432780732e6,0.0,0.0,0.0,0.0
297,2.7662120000000005e6,5.34735224601187e6,0.0,0.0,0.0,0.0
298,2.7675190000000005e6,5.348687059243007e6,0.0,0.0,0.0,0.0
