Date,Price,Open,High,Low,Vol.,Change %
4/11/2025,64.08,61.94,62.03,61.16,0.12K,4.40%
4/10/2025,61.38,62.43,62.43,60.98,1.08K,1.91%
4/9/2025,60.23,60.14,60.32,59.85,0.01K,-1.75%
4/8/2025,61.3,60.98,62.21,60.16,0.13K,-1.32%
4/7/2025,62.12,60.5,63.79,59.7,0.15K,-1.52%
4/4/2025,63.08,64.84,64.84,62.03,0.64K,-3.33%
4/3/2025,65.25,66.35,66.35,65.1,0.85K,-3.60%
4/2/2025,67.69,68.77,68.77,67.56,0.05K,-1.87%
4/1/2025,68.98,68.47,69.01,68.47,0.13K,2.76%
3/31/2025,67.13,67.1,67.12,66.4,0.04K,-1.15%
3/28/2025,67.91,67.9,67.95,67.86,2.04K,0.37%
3/27/2025,67.66,67.78,67.82,67.21,2.06K,-3.22%
3/26/2025,69.91,69.09,69.92,69.09,0.89K,0.55%
3/25/2025,69.53,69.71,69.71,69.3,0.37K,-1.49%
3/24/2025,70.58,70.55,70.72,70.48,1.54K,0.81%
3/21/2025,70.01,72.49,72.49,70,3.76K,-2.14%
3/20/2025,71.54,72.2,72.43,71.4,2.83K,-0.58%
3/19/2025,71.96,70.59,72.39,70.51,6.67K,2.98%
3/18/2025,69.88,69.16,70.05,68.48,2.19K,1.73%
3/17/2025,68.69,69.23,69.23,68.16,0.27K,-1.25%
3/14/2025,69.56,69.16,70.28,68.98,0.58K,0.56%
3/13/2025,69.17,68.24,70.14,67.41,0.83K,1.41%
3/12/2025,68.21,66.92,68.32,65.91,2.28K,2.03%
3/11/2025,66.85,67.75,67.9,66.21,0.60K,-1.07%
3/10/2025,67.57,67.03,68.56,66.5,2.97K,0.54%
3/7/2025,67.21,65.48,68,65.48,2.08K,1.94%
3/6/2025,65.93,67.36,67.73,65.5,2.37K,-2.18%
3/5/2025,67.4,66.95,68.13,66.74,1.29K,0.40%
3/4/2025,67.13,69.98,69.98,66.51,1.45K,-4.26%
3/3/2025,70.12,70.91,71.29,69.88,0.81K,0.81%
2/28/2025,69.56,71.8,71.95,69.37,0.79K,-2.47%
2/27/2025,71.32,69.77,71.7,69.66,2.07K,2.53%
2/26/2025,69.56,69.96,70.98,69.26,0.22K,-1.00%
2/25/2025,70.26,72.06,72.07,69.68,0.99K,-2.61%
2/24/2025,72.14,72.78,72.79,70.69,0.45K,-0.32%
2/21/2025,72.37,71.22,73.25,71.22,0.20K,1.74%
2/20/2025,71.13,71.95,72.17,70.82,1.10K,-1.85%
2/19/2025,72.47,74.39,74.67,72.15,2.50K,-2.28%
2/18/2025,74.16,75.4,75.75,73.09,0.31K,-1.92%
2/17/2025,75.61,77.67,77.7,75.26,1.06K,-3.21%
2/14/2025,78.12,75.81,78.18,75.74,0.30K,2.20%
2/13/2025,76.44,78.01,78.33,76.35,2.62K,-2.80%
2/12/2025,78.64,80.3,80.3,78.5,2.69K,-2.82%
2/11/2025,80.92,80.61,82.16,80.07,0.63K,-0.46%
2/10/2025,81.29,81.53,82.55,81.2,0.61K,0.79%
2/7/2025,80.65,80.15,81,79.7,0.78K,0.44%
2/6/2025,80.3,79.36,81.06,79.32,1.14K,1.02%
2/5/2025,79.49,79.08,80.87,78.28,0.42K,0.33%
2/4/2025,79.23,79.39,80,78.06,1.23K,-0.09%
2/3/2025,79.3,81.73,81.73,78.5,1.42K,-3.52%
1/31/2025,82.19,81.41,82.6,81.08,0.39K,1.58%
1/30/2025,80.91,81.04,82.67,80.57,0.44K,-0.33%
1/29/2025,81.18,79.37,81.93,79.34,0.87K,3.35%
1/28/2025,78.55,77.5,78.66,77.15,1.74K,1.16%
1/27/2025,77.65,79.41,79.43,77.54,3.07K,-2.88%
1/24/2025,79.95,79.38,80,78.3,1.14K,1.13%
