Timestep,Import_FR_MW,Import_PT_MW
822,2800.0,-2251.2650678269165
823,2800.0,-2251.2650678269165
824,2800.0,-4200.0
825,2800.0,-4200.0
826,2800.0,-4200.0
827,2800.0,-4200.0
828,2800.0,-4200.0
829,2800.0,-4200.0
830,2800.0,-4200.0
831,2800.0,-4200.0
832,-2800.0,-4200.0
833,-2800.0,-4200.0
834,2800.0,-4200.0
835,2800.0,-4200.0
836,2800.0,-3608.869923299886
837,2800.0,-3608.869923299886
838,2800.0,-3085.8545047327493
839,2800.0,-3085.8545047327493
840,2800.0,-718.0515552881052
841,2800.0,-718.0515552881052
842,2800.0,-2942.514649285765
843,2800.0,-2942.514649285765
844,2800.0,-2923.348859718501
845,2800.0,-2923.348859718501
846,2800.0,-3426.290680568249
847,2800.0,-3426.290680568249
848,2800.0,-3579.9929719944994
849,2800.0,-3579.9929719944994
850,2800.0,-3614.83439594825
851,2800.0,-3614.83439594825
852,2800.0,-3540.254765820162
853,2800.0,-3540.254765820162
854,2800.0,-3867.094714743049
855,2800.0,-3867.094714743049
856,2800.0,-2642.6737904497504
857,2800.0,-2642.6737904497504
858,2800.0,-2693.97605426875
859,2800.0,-2693.97605426875
860,2800.0,-742.2723096011514
861,2800.0,-742.2723096011514
862,2800.0,-2598.5440342292686
863,2800.0,-2598.5440342292686
864,2800.0,-2542.93286431725
865,2800.0,-2542.93286431725
866,2800.0,-2436.886718717249
867,2800.0,-2436.886718717249
868,2800.0,-2434.6645389747505
869,2800.0,-2434.6645389747505
870,2800.0,-2424.575234838999
871,2800.0,-2424.575234838999
872,2800.0,-2451.043728056
873,2800.0,-2451.043728056
874,2800.0,-2896.118980687749
875,2800.0,-2896.118980687749
876,2800.0,-2934.8746198102854
877,2800.0,-2934.8746198102854
878,2800.0,-2970.7490882360003
879,2800.0,-2970.7490882360003
880,2800.0,-2896.6231497795
881,2800.0,-2896.6231497795
882,2800.0,-2174.49231676775
883,2800.0,-2174.49231676775
884,2800.0,-2281.339271210499
885,2800.0,-2281.339271210499
886,2800.0,-1858.4216921687498
887,2800.0,-1858.4216921687498
