transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,HV_kV,n_recommended,per_unit_MVA,installed_MVA,X_pu_on_installed_base,X_ohm_HV,X_ohm_LV
TR_f02d7b94,ES00378,ES00379,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_314cfd1c,ES00443,ES00444,132,220,220,2,100,200,0.12,29.04,10.4544
TR_8c3372a7,ES00371,ES00372,132,220,220,2,100,200,0.12,29.04,10.4544
TR_a3c83c97,ES00373,ES00374,132,220,220,2,100,200,0.12,29.04,10.4544
TR_585684a3,ES00441,ES00442,132,220,220,2,100,200,0.12,29.04,10.4544
TR_87714406,ES00207,ES00208,220,400,400,3,1000,3000,0.14,7.466666666666668,2.2586666666666675
TR_9e433286,ES00369,ES00370,220,400,400,2,100,200,0.14,112.0,33.88
TR_5b9e4f80,ES00375,ES00376,220,400,400,3,315,945,0.14,23.703703703703702,7.170370370370371
TR_13fe3810,ES00210,ES00211,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_a35675e3,ES00435,ES00436,220,400,400,3,315,945,0.14,23.703703703703702,7.170370370370371
TR_ba0a135f,ES00003,ES00004,220,400,400,3,500,1500,0.14,14.933333333333335,4.517333333333335
TR_6c5e9c5a,ES00228,ES00229,220,400,400,3,250,750,0.14,29.86666666666667,9.03466666666667
TR_4e681766,ES00052,ES00053,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_da0a8bbb,ES00205,ES00206,220,400,400,3,500,1500,0.14,14.933333333333335,4.517333333333335
TR_cbe8a5bf,ES00011,ES00012,220,400,400,3,160,480,0.14,46.66666666666667,14.11666666666667
TR_5d89fb1a,ES00626,ES01258,220,400,400,3,100,300,0.14,74.66666666666669,22.586666666666677
TR_1567d725,ES00624,ES00625,320,400,400,3,630,1890,0.14,11.851851851851851,7.585185185185186
