Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
249,7.85245778258793e6,4.561591762156872e6,0.0,0.0,0.0,0.0
250,7.862542852848822e6,4.56071772235278e6,0.0,0.0,0.0,0.0
251,7.872379565707751e6,4.562052535583917e6,0.0,0.0,0.0,0.0
252,7.88221627856668e6,4.563387348815055e6,0.0,0.0,0.0,0.0
253,7.891647263075155e6,4.564722162046192e6,0.0,0.0,0.0,0.0
254,7.9010782475836305e6,4.566056975277329e6,0.0,0.0,0.0,0.0
255,7.910818869066975e6,4.5673917885084655e6,0.0,0.0,0.0,0.0
256,7.92055949055032e6,4.568726601739603e6,0.0,0.0,0.0,0.0
257,7.930915255069425e6,4.570003160859283e6,0.0,0.0,0.0,0.0
258,7.941271019588532e6,4.571279719978962e6,0.0,0.0,0.0,0.0
259,7.951714706606579e6,4.565673563210099e6,0.0,0.0,0.0,0.0
260,7.962158393624626e6,4.560067406441236e6,0.0,0.0,0.0,0.0
261,7.972251800748366e6,4.556667647119209e6,0.0,0.0,0.0,0.0
262,7.982345207872106e6,4.553267887797183e6,0.0,0.0,0.0,0.0
263,7.990577640098259e6,4.54766173102832e6,0.0,0.0,0.0,0.0
264,7.998810072324412e6,4.542055574259457e6,0.0,0.0,0.0,0.0
265,8.0066677601664625e6,4.536449417490594e6,0.0,0.0,0.0,0.0
266,8.014525448008513e6,4.530843260721731e6,0.0,0.0,0.0,0.0
267,8.022558745813645e6,4.525250088375906e6,0.0,0.0,0.0,0.0
268,8.030592043618777e6,4.519656916030082e6,0.0,0.0,0.0,0.0
269,8.014201078418573e6,4.51532966210366e6,0.0,0.0,0.0,0.0
270,7.997810113218371e6,4.511002408177239e6,0.0,0.0,0.0,0.0
271,8.009434189396503e6,4.50758974965955e6,0.0,0.0,0.0,0.0
272,8.021058265574636e6,4.504177091141862e6,0.0,0.0,0.0,0.0
273,8.032972019841562e6,4.503098180767378e6,0.0,0.0,0.0,0.0
274,8.044885774108488e6,4.502019270392895e6,0.0,0.0,0.0,0.0
275,8.056731112376936e6,4.503354083624031e6,0.0,0.0,0.0,0.0
276,8.068576450645383e6,4.504688896855169e6,0.0,0.0,0.0,0.0
277,8.079789857563063e6,4.506023710086307e6,0.0,0.0,0.0,0.0
278,8.091003264480742e6,4.507358523317443e6,0.0,0.0,0.0,0.0
279,8.102361924338196e6,4.50869333654858e6,0.0,0.0,0.0,0.0
