date,hour,gen_id,unit_name,fuel,technology,bus_i,capacity_mw,dispatch_mw,dispatch_mvar,utilization_pct,cost_eur_per_mwh
2024-12-02,0,264,G0468,Wind,Onshore,594,70.0,9.76,5.71,100.0,0.18
2024-12-02,0,106,G0780,Gas,Combined_cycle,1073,416.0,0.0,-5.91,0.0,93.16
2024-12-02,0,435,G0281,Hydro,pumped_storage,363,963.0,963.0,-49.71,100.0,0.04
2024-12-02,0,489,G0125,Solar,PV,192,177.6,7.49,-7.49,100.0,0.0
2024-12-02,0,846,G0214,Hydro,reservoir,302,194.0,0.0,-51.69,0.0,0.0
2024-12-02,0,576,G0332,Solar,PV,423,1.8,0.08,-0.08,100.0,0.0
2024-12-02,0,584,G0350,Solar,PV,452,1.2,0.05,-0.05,100.0,0.0
2024-12-02,0,287,G0517,Wind,Onshore,665,50.0,6.97,-3.23,100.0,0.18
2024-12-02,0,213,G0288,Wind,Onshore,369,97.0,13.53,0.05,100.0,0.18
2024-12-02,0,474,G0079,Solar,PV,135,18.7,0.79,-0.0,100.0,0.0
2024-12-02,0,356,G0731,Wind,Onshore,968,75.0,10.46,-10.46,100.0,0.18
2024-12-02,0,265,G0469,Wind,Onshore,604,40.0,5.58,-0.05,100.0,0.18
2024-12-02,0,215,G0294,Wind,Onshore,377,125.5,17.5,-17.5,100.0,0.18
2024-12-02,0,443,G0853,Hydro,pumped_storage,1156,546.0,546.0,-124.7,100.0,0.04
2024-12-02,0,424,G0908,Wind,Onshore,1217,106.0,14.78,-14.78,100.0,0.18
2024-12-02,0,154,G0036,Wind,Onshore,65,178.0,24.82,-24.82,100.0,0.18
2024-12-02,0,682,G0585,Solar,PV,775,12.6,0.53,0.0,100.0,0.0
2024-12-02,0,49,G0184,Gas,Combined_cycle,278,21.0,0.0,5.73,0.0,93.16
2024-12-02,0,5,G0443,Biomass,Biomass,548,37.0,37.0,-6.12,100.0,85.42
2024-12-02,0,196,G0215,Wind,Onshore,303,43.0,6.0,6.0,100.0,0.18
2024-12-02,0,90,G0462,Gas,Combined_cycle,580,785.0,0.0,-350.51,0.0,93.16
2024-12-02,0,707,G0639,Solar,PV,846,28.0,1.18,-1.18,100.0,0.0
2024-12-02,0,404,G0857,Wind,Onshore,1160,123.0,17.15,-3.71,100.0,0.18
2024-12-02,0,742,G0719,Solar,PV,964,6.3,0.27,-0.27,100.0,0.0
2024-12-02,0,201,G0227,Wind,Onshore,316,111.0,15.48,0.18,100.0,0.18
2024-12-02,0,311,G0590,Wind,Onshore,779,18.0,2.51,-2.51,100.0,0.18
2024-12-02,0,315,G0595,Wind,Onshore,793,20.0,2.79,-2.79,100.0,0.18
2024-12-02,0,448,G0013,Solar,PV,17,36.4,1.53,-1.53,100.0,0.0
2024-12-02,0,461,G0047,Solar,PV,81,60.4,2.55,-2.54,100.0,0.0
2024-12-02,0,366,G0753,Wind,Onshore,1029,60.0,8.37,1.37,100.0,0.18
2024-12-02,0,757,G0774,Solar,PV,1060,46.0,1.94,-1.94,100.0,0.0
2024-12-02,0,841,G0094,Hydro,reservoir,158,200.0,0.0,-69.93,0.0,0.0
2024-12-02,0,657,G0534,Solar,PV,687,7.4,0.31,-0.31,100.0,0.0
2024-12-02,0,71,G0335,Oil,Combined_cycle,425,80.0,-0.0,36.88,-0.0,179.68
