rep,t,b,pES,pFR,pPT,fFR,fPT,coal,peak,nuc,res,turb,shed,dem
5,44,64,29.555499316578224,-0.0,29.555499316578224,-5652.894,-2565.0217015908156,0.0,0.0,0.0,4834.00611835,0.0,0.0,18465.669914655817
5,44,65,25.595062408156743,-0.0,25.595062408156743,-5652.894,-3728.230073795732,0.0,0.0,0.0,13932.527548350003,0.0,0.0,20966.31608194345
5,44,66,-0.0,-0.0,-0.0,-1891.9786385692805,-6138.175557671966,0.0,0.0,0.0,23799.50273335,0.0,0.0,23653.65692959125
5,44,67,-0.0,-0.0,-0.0,-2278.992573355834,-3967.874338928288,0.0,0.0,0.0,26047.642608350005,0.0,0.0,24118.50952063413
5,44,68,-0.0,-0.0,-0.0,-5652.894,-1868.9257813723289,0.0,0.0,0.0,23971.74106835,0.0,0.0,23317.56084972233
5,44,69,25.595062408156743,-0.0,25.595062408156743,-5652.894,-2105.8986208683873,0.0,0.0,0.0,18901.58229335,0.0,0.0,22321.61795140095
5,44,70,29.555499316578224,-0.0,29.555499316578224,-5652.894,-1506.1664363263967,0.0,0.0,0.0,11233.45567835,3927.8081459606988,0.0,22813.324260637095
5,44,71,29.555499316578224,-0.0,29.555499316578224,-5652.894,-3176.9891538272777,0.0,0.0,0.0,8095.3659533499995,1278.4016660529696,0.0,24791.37339000262
5,44,72,29.555499316578224,-0.0,29.555499316578224,-5652.894,-3516.3114903662026,0.0,0.0,0.0,7714.942578349999,0.0,0.0,25553.1480687162
5,44,73,29.555499316578224,-0.0,29.555499316578224,-5652.894,-1815.7194417144879,0.0,0.0,0.0,7314.903135729998,0.0,0.0,23142.36573982322
5,44,74,29.555499316578224,-0.0,29.555499316578224,-5652.894,-3554.9413658723847,0.0,0.0,0.0,6462.754775729999,0.0,0.0,20496.109458016523
5,44,75,29.555499316578224,-0.0,29.555499316578224,-5652.894,-5103.79313526086,0.0,0.0,0.0,5701.908025729998,0.0,0.0,18367.784173040698
5,44,76,26.10507842,-0.0,26.10507842,-5652.894,-4739.7744661446195,0.0,0.0,0.0,6189.57980073,0.0,0.0,17075.24826687462
5,44,77,-0.0,-0.0,-0.0,-5652.894,-8060.722976852579,0.0,0.0,0.0,12819.879725730001,0.0,0.0,18357.49670258258
5,44,78,-0.0,-0.0,-0.0,-5652.894,-4514.075647418129,0.0,0.0,0.0,18815.60027573,0.0,0.0,20806.56992314813
5,44,79,-0.0,-0.0,-0.0,701.2757935760237,-9501.60365714932,0.0,0.0,0.0,21277.184015730007,0.0,0.0,21901.511879303303
5,44,80,-0.0,-0.0,-0.0,-1834.32997448285,-7846.906236122094,0.0,0.0,0.0,19842.095765730002,0.0,0.0,21347.331976334946
5,44,81,-0.0,-0.0,-0.0,5018.324758461452,-7852.153070157253,0.0,0.0,0.0,13634.63337073,0.0,0.0,20262.1256824258
5,44,82,26.10507842,-0.0,26.10507842,-5652.894,-1457.0425367364423,0.0,0.0,0.0,5371.83181573,0.0,0.0,21150.768352466443
5,44,83,29.555499316578224,-0.0,29.555499316578224,-5652.894,-4313.744542163382,0.0,0.0,0.0,2430.26700073,2722.844340909036,0.0,23788.74988380242
5,44,84,29.555499316578224,-0.0,29.555499316578224,-5652.894,-4751.8673937905605,0.0,0.0,0.0,1882.4573407299995,4219.851296722083,0.0,25176.070031242645
5,45,1,29.558,24.68168139498719,29.558,-5652.894,274.1031420993309,0.0,0.0,3901.0451962788406,5857.540088629999,6940.97,0.0,22571.34614280951
5,45,2,29.558,24.68168139498719,29.558,-5652.894,831.9971230967183,0.0,0.0,2492.773861448284,5385.815103629999,6940.97,0.0,20133.455841981566
5,45,3,29.558,24.83027028,29.558,-5652.894,1211.1694763394817,0.0,0.0,1763.7456288327721,4944.52398863,6940.97,0.0,18583.96414112329
5,45,4,29.554096963896587,-0.0,29.554096963896587,-5652.894,-783.4174856449472,0.0,0.0,0.0,6148.6061836300005,6686.91321615039,0.0,19764.830885425337
5,45,5,26.10507842,-0.0,26.10507842,-5652.894,-3563.366661925822,0.0,0.0,0.0,15501.606693630005,0.0,0.0,25210.867355555827
5,45,6,25.597228,-0.0,25.597228,-5652.894,-2199.831049531339,0.0,0.0,0.0,22358.623088630004,0.0,0.0,27990.05162405954
5,45,7,25.597228,-0.0,25.597228,-5652.894,-6337.289135786321,0.0,0.0,0.0,23156.460703630004,0.0,0.0,27950.477813527923
5,45,8,25.597228,-0.0,25.597228,-5652.894,-3177.669771825341,0.0,0.0,0.0,20188.021748630003,0.0,0.0,27340.555766877882
