Node	Generator	Period	genInstalledCap
ES425	BioCCS	2	1.1701003378595344e-05
ES425	CoalCCS	1	0.0
ES425	CoalCCS	2	0.0
ES425	GasCCGT	1	673.8280000078512
ES425	GasCCGT	2	564.4960971780987
ES425	GasCCS	1	3.3908154082717184e-07
ES425	GasCCS	2	3.3760134454521945e-07
ES425	GasOCGT	1	100.11400001297723
ES425	GasOCGT	2	85.68447081839942
ES425	Hydroregulated	1	535.6320000268373
ES425	Hydroregulated	2	535.6320000333715
ES425	Hydrorun-of-the-river	1	0.0
ES425	Hydrorun-of-the-river	2	0.0
ES425	Lignite	1	9.509089145732538e-07
ES425	Lignite	2	1.2118129654035285e-06
ES425	Solar	1	413.18000008560875
ES425	Solar	2	398.0441961908152
ES425	Waste	1	1.1613955074272012e-05
ES425	Waste	2	1.1716355108921197e-05
ES425	Windonshore	1	177.50200007401665
ES425	Windonshore	2	142.08913761405444
ES431	BioCCS	1	6.442972918480186e-06
ES431	BioCCS	2	9.677831149648315e-06
ES431	CoalCCS	1	0.0
ES431	CoalCCS	2	0.0
ES431	GasCCS	1	3.386516283156209e-07
ES431	GasCCS	2	3.371629256866828e-07
ES431	GasOCGT	1	267.8720000305701
ES431	GasOCGT	2	229.26334540063485
ES431	Hydroregulated	1	213.71200004245807
ES431	Hydroregulated	2	214.27569646439417
ES431	Hydrorun-of-the-river	1	0.0
ES431	Hydrorun-of-the-river	2	0.0
ES431	Lignite	1	9.512533870629756e-07
ES431	Lignite	2	1.2114879305252528e-06
ES431	Solar	1	3544.5770000490857
ES431	Solar	2	3414.7303856379876
ES431	Waste	1	1.0893081796295967e-05
ES431	Waste	2	1.0949966929285768e-05
ES431	Windonshore	1	19.833000073333363
ES431	Windonshore	2	15.876181096365746
ES432	BioCCS	1	4.890113685606829e-06
ES432	BioCCS	2	7.352220346787383e-06
ES432	CoalCCS	1	0.0
ES432	CoalCCS	2	0.0
ES432	GasCCS	1	3.3774812223708996e-07
ES432	GasCCS	2	3.3626390239423665e-07
ES432	GasOCGT	1	434.4750000203256
ES432	GasOCGT	2	371.85369122442756
ES432	Hydroregulated	1	3215.147000000233
ES432	Hydroregulated	2	3215.147000001839
ES432	Hydrorun-of-the-river	1	0.0
ES432	Hydrorun-of-the-river	2	0.0
ES432	Lignite	1	9.489432311433794e-07
ES432	Lignite	2	1.2107934495126406e-06
ES432	Nuclear	1	2010.8400000001943
ES432	Nuclear	2	1802.6304306313048
ES432	Solar	1	2635.5080000546595
ES432	Solar	2	2538.9628299032274
ES432	Waste	1	8.003313687390873e-06
ES432	Waste	2	8.132119904641977e-06
ES432	Windonshore	1	146.7610000372809
ES432	Windonshore	2	117.48117733133238
ES511	BioCCS	1	7.155194621730814e-06
ES511	BioCCS	2	176.87197778137465
ES511	CoalCCS	1	0.0
ES511	CoalCCS	2	0.0
ES511	GasCCGT	1	2344.6360000018894
ES511	GasCCGT	2	1964.207292196938
ES511	GasCCS	1	3.398691396449456e-07
ES511	GasCCS	2	3.3838500951794503e-07
ES511	GasOCGT	1	143.8440000270274
ES511	GasOCGT	2	123.11162294514187
ES511	Hydrorun-of-the-river	1	7.056999931000986
ES511	Hydrorun-of-the-river	2	7.056999942664444
ES511	Lignite	1	9.513884362985049e-07
ES511	Lignite	2	1.2147496048907965e-06
ES511	Solar	1	2592.2399990153503
ES511	Solar	2	2592.2399989866817
ES511	Waste	1	1.4382827251929372e-05
