Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
ES523,Solar,2025-2030,0.003973998300249121
ES532,Solar,2020-2025,0.0020703424850351867
ES532,Solar,2025-2030,0.0039450109727698955
ES611,Solar,2020-2025,0.002147635084541096
ES611,Solar,2025-2030,0.004466559215646934
ES612,Solar,2020-2025,0.0020079421209726646
ES612,Solar,2025-2030,0.004479903626064653
ES613,Solar,2020-2025,0.0020339215366644817
ES613,Solar,2025-2030,0.004282665718304993
ES614,Solar,2020-2025,0.0020501135924998093
ES614,Solar,2025-2030,0.004339407428311434
ES615,Solar,2020-2025,0.002019477639690609
ES615,Solar,2025-2030,0.004412419995404629
ES616,Solar,2020-2025,0.002078189803755698
ES616,Solar,2025-2030,0.004253795591247388
ES617,Solar,2020-2025,0.002113545073639695
ES617,Solar,2025-2030,0.004185034564941627
ES618,Solar,2020-2025,0.001883703557513521
ES618,Solar,2025-2030,0.004424385063171694
ES620,Solar,2020-2025,0.002008656132546855
ES620,Solar,2025-2030,0.00440889668924192
EU,Solar,2020-2025,0.0014318215766958263
EU,Solar,2025-2030,0.0038366943329659745
France,Solar,2020-2025,0.0002714946677731214
France,Solar,2025-2030,0.0008683514682280025
Italy,Solar,2020-2025,1217.7018327791138
Italy,Solar,2025-2030,977.0469823474316
Portugal,Solar,2020-2025,0.0024913822596151253
Portugal,Solar,2025-2030,0.005219719211738809
