date,hour,load_mw,solar_mw,wind_mw,line_rating_factor,reliability_margin,cache_version,crossborder_split,fr_commercial_cap_mw,pt_commercial_cap_mw,base_emergency_mw,fr_import_mw,fr_export_mw,pt_import_mw,pt_export_mw,joint_scale
2025-06-25,15,31525.669926850045,28374.06304186838,11368.705693918613,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3828.8450401521154,4846.117134898839,7267.095498615814,7279.482019102503,0.9975592636289214
2025-06-25,16,31164.22347555395,21655.955857760768,10568.90195790595,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3806.6928024907693,4841.796914323201,7266.459072144455,7279.512940268018,0.9974761347808812
2025-06-25,17,31194.159224587675,15596.50382206761,9530.926382897771,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3760.497221434815,4839.486150991076,7268.145063225936,7277.494542575869,0.9974309378337187
2025-06-25,18,31643.195460093553,7868.462218866837,9837.188962362161,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3864.607389493739,4839.195812178226,7269.719070425258,7275.275570054327,0.9973427564045022
2025-06-25,19,32600.030697727077,1822.5307964540207,8619.526601477242,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3817.8143474959497,4840.65802938732,7274.344278303896,7270.591050182905,0.9973347100388354
2025-06-25,20,33689.91370884382,0.15776745678006884,6830.4401258885855,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3879.4534192322417,4844.421646281993,7279.159775034264,7271.134995947155,0.998069603737705
2025-06-25,21,32260.75887534486,0.0,8749.514187407165,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3890.2704945909777,4836.856420708356,7272.067753768279,7271.218518906618,0.9971086339196056
2025-06-25,22,30442.439304407453,0.0,4898.207418134929,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3872.802865574354,4821.359913798778,7266.715522063748,7272.935310752665,0.9966099995903858
2025-06-25,23,28821.473930803506,0.0,5630.366502454889,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3882.699533410871,4811.210157568871,7259.231397243806,7274.4734863317035,0.9957941183515392
2025-06-26,0,27538.67164813608,0.0,6475.582196677511,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3909.185733917839,4802.897060495466,7252.4386866047025,7277.390080459687,0.9952611854176572
2025-06-26,1,26956.587639146976,0.0,7477.026768165179,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3906.531242779039,4799.4356554350825,7248.654529574378,7279.273659805982,0.9949993417620288
2025-06-26,2,26821.322402772363,0.0,8416.927387140046,0.8,0.7,6,country_total,7722.315367457772,14520.891053065609,0.0,3905.487727120072,4799.229400115359,7247.797713428294,7279.884468505198,0.9949652095728019
