date,hour,branch_id,branch_name,from_bus,to_bus,from_bus_id,to_bus_id,from_nuts3,to_nuts3,asset_class,reinforcement_eligible,diagnostic_multiplier,capacity_policy,base_line_rating_factor,flow_mw,flow_mvar,limit_mw,loading_pct
2024-08-22,13,2022,LTGES1332a,501,924,ES00504,ES00935,ES617,ES617,intra_nuts3,true,10.0,intra_diagnostic,0.8,-43.36,0.0,11797.34,0.4
2025-06-29,19,952,LTGES0638b,901,34,ES00910,ES00034,ES618,ES618,intra_nuts3,true,10.0,intra_diagnostic,0.8,-33.33,0.0,7864.9,0.4
2024-08-22,13,2024,LTGES1332c,501,924,ES00504,ES00935,ES617,ES617,intra_nuts3,true,10.0,intra_diagnostic,0.8,-43.36,0.0,11797.34,0.4
2025-06-27,17,464,LTGES0321b,788,311,ES00797,ES00314,ES113,ES112,inter_nuts3,false,5.0,inter_allowance,0.8,13.91,0.0,3932.45,0.4
2024-08-22,11,520,LTGES0361b,806,511,ES00815,ES00514,ES523,ES523,intra_nuts3,true,10.0,intra_diagnostic,0.8,-28.05,0.0,7864.9,0.4
2025-06-27,11,1258,LTGES0827b,1005,313,ES01019,ES00316,ES111,ES111,intra_nuts3,true,10.0,intra_diagnostic,0.8,-42.35,0.0,11797.34,0.4
2024-08-22,19,1542,LTGES1014a,73,1033,ES00073,ES01047,ES130,ES130,intra_nuts3,true,10.0,intra_diagnostic,0.8,28.1,0.0,7864.9,0.4
2024-08-22,8,1759,LTGES1155c,1056,485,ES01070,ES00488,ES300,ES300,intra_nuts3,true,10.0,intra_diagnostic,0.8,-41.54,0.0,11797.34,0.4
2025-06-27,11,1257,LTGES0827a,1005,313,ES01019,ES00316,ES111,ES111,intra_nuts3,true,10.0,intra_diagnostic,0.8,-42.35,0.0,11797.34,0.4
2024-08-22,8,1132,LTGES0747a,932,940,ES00943,ES00951,ES521,ES521,intra_nuts3,true,10.0,intra_diagnostic,0.8,28.74,0.0,7864.9,0.4
