Source:_See_reference_Generator.xlsx	Unnamed:_1	Unnamed:_2
ES424	Lignite	200000.0
ES424	Hcoal	0.0
ES424	Coal	400000.0
ES424	Gas_OCGT	200000.0
ES424	Oil	200000.0
ES424	Bio	200000.0
ES424	Geo	0.0
ES424	Nuclear	200000.0
ES424	Hydro_reg	0.0
ES424	Hydro_ror	0.0
ES424	Wave	0.0
ES424	Wind_onshr	4596.553
ES424	Wind_offshr_grounded	0.0
ES424	Wind_offshr_floating	0.0
ES424	Solar	5942.945
ES424	Waste	714.0
ES424	Gas_CCGT	200000.0
ES425	CCS	800000.0
ES425	Lignite	200000.0
ES425	Hcoal	0.0
ES425	Coal	400000.0
ES425	Gas_OCGT	200000.0
ES425	Oil	200000.0
ES425	Bio	200000.0
ES425	Geo	0.0
ES425	Nuclear	200000.0
ES425	Hydro_reg	974.292
ES425	Hydro_ror	0.0
ES425	Wave	0.0
ES425	Wind_onshr	9521.791
ES425	Wind_offshr_grounded	0.0
ES425	Wind_offshr_floating	0.0
ES425	Solar	2076.272
ES425	Waste	714.0
ES425	Gas_CCGT	200000.0
ES431	CCS	800000.0
ES431	Lignite	200000.0
ES431	Hcoal	0.0
ES431	Coal	400000.0
ES431	Gas_OCGT	200000.0
ES431	Oil	200000.0
ES431	Bio	200000.0
ES431	Geo	0.0
ES431	Nuclear	200000.0
ES431	Hydro_reg	388.733
ES431	Hydro_ror	0.0
ES431	Wave	0.0
ES431	Wind_onshr	4015.464
ES431	Wind_offshr_grounded	0.0
ES431	Wind_offshr_floating	0.0
ES431	Solar	9615.77
ES431	Waste	714.0
ES431	Gas_CCGT	200000.0
ES432	CCS	800000.0
ES432	Lignite	200000.0
ES432	Hcoal	0.0
ES432	Coal	400000.0
ES432	Gas_OCGT	200000.0
ES432	Oil	200000.0
ES432	Bio	200000.0
ES432	Geo	0.0
ES432	Nuclear	200000.0
ES432	Hydro_reg	5848.215
ES432	Hydro_ror	0.0
ES432	Wave	0.0
ES432	Wind_onshr	4421.526
ES432	Wind_offshr_grounded	0.0
ES432	Wind_offshr_floating	0.0
ES432	Solar	7149.638
ES432	Waste	714.0
ES432	Gas_CCGT	200000.0
ES511	CCS	800000.0
ES511	Lignite	200000.0
ES511	Hcoal	0.0
ES511	Coal	400000.0
ES511	Gas_OCGT	200000.0
ES511	Oil	200000.0
ES511	Bio	200000.0
ES511	Geo	0.0
ES511	Nuclear	200000.0
ES511	Hydro_reg	0.0
ES511	Hydro_ror	7.057
ES511	Wave	0.0
ES511	Wind_onshr	645.853
ES511	Wind_offshr_grounded	0.0
ES511	Wind_offshr_floating	0.0
ES511	Solar	2592.24
ES511	Waste	714.0
ES511	Gas_CCGT	200000.0
ES512	CCS	800000.0
ES512	Lignite	200000.0
ES512	Hcoal	0.0
ES512	Coal	400000.0
ES512	Gas_OCGT	200000.0
ES512	Oil	200000.0
ES512	Bio	200000.0
ES512	Geo	0.0
ES512	Nuclear	200000.0
ES512	Hydro_reg	332.145
ES512	Hydro_ror	3.89
ES512	Wave	0.0
ES512	Wind_onshr	557.223
ES512	Wind_offshr_grounded	0.0
ES512	Wind_offshr_floating	0.0
ES512	Solar	937.373
ES512	Waste	714.0
ES512	Gas_CCGT	200000.0
ES513	CCS	800000.0
ES513	Lignite	200000.0
ES513	Hcoal	0.0
ES513	Coal	400000.0
ES513	Gas_OCGT	200000.0
ES513	Oil	200000.0
ES513	Bio	200000.0
ES513	Geo	0.0
ES513	Nuclear	200000.0
ES513	Hydro_reg	843.895
ES513	Hydro_ror	9.596
ES513	Wave	0.0
ES513	Wind_onshr	1975.087
ES513	Wind_offshr_grounded	0.0
ES513	Wind_offshr_floating	0.0
ES513	Solar	7140.233
ES513	Waste	714.0
ES513	Gas_CCGT	200000.0
ES514	CCS	800000.0
ES514	Lignite	200000.0
ES514	Hcoal	0.0
ES514	Coal	400000.0
ES514	Gas_OCGT	200000.0
ES514	Oil	200000.0
ES514	Bio	200000.0
ES514	Geo	0.0
ES514	Nuclear	200000.0
ES514	Hydro_reg	984.134
ES514	Hydro_ror	0.0
ES514	Wave	0.0
ES514	Wind_onshr	2939.028
ES514	Wind_offshr_grounded	0.0
ES514	Wind_offshr_floating	0.0
ES514	Solar	2441.798
ES514	Waste	714.0
ES514	Gas_CCGT	200000.0
ES521	CCS	800000.0
ES521	Lignite	200000.0
ES521	Hcoal	0.0
ES521	Coal	400000.0
ES521	Gas_OCGT	200000.0
ES521	Oil	200000.0
ES521	Bio	200000.0
ES521	Geo	0.0
ES521	Nuclear	200000.0
ES521	Hydro_reg	0.0
ES521	Hydro_ror	0.0
ES521	Wave	0.0
ES521	Wind_onshr	974.932
ES521	Wind_offshr_grounded	0.0
ES521	Wind_offshr_floating	0.0
ES521	Solar	4652.954
ES521	Waste	714.0
ES521	Gas_CCGT	200000.0
ES522	CCS	800000.0
ES522	Lignite	200000.0
ES522	Hcoal	0.0
ES522	Coal	400000.0
ES522	Gas_OCGT	200000.0
ES522	Oil	200000.0
ES522	Bio	200000.0
ES522	Geo	0.0
ES522	Nuclear	200000.0
ES522	Hydro_reg	0.0
ES522	Hydro_ror	0.0
ES522	Wave	0.0
ES522	Wind_onshr	1470.368
ES522	Wind_offshr_grounded	0.0
ES522	Wind_offshr_floating	0.0
ES522	Solar	1835.793
ES522	Waste	714.0
ES522	Gas_CCGT	200000.0
ES523	CCS	800000.0
ES523	Lignite	200000.0
ES523	Hcoal	0.0
ES523	Coal	400000.0
ES523	Gas_OCGT	200000.0
ES523	Oil	200000.0
ES523	Bio	200000.0
ES523	Geo	0.0
ES523	Nuclear	200000.0
ES523	Hydro_reg	1828.029
ES523	Hydro_ror	0.0
ES523	Wave	0.0
ES523	Wind_onshr	1055.593
ES523	Wind_offshr_grounded	0.0
ES523	Wind_offshr_floating	0.0
ES523	Solar	3141.842
ES523	Waste	714.0
ES523	Gas_CCGT	200000.0
ES532	CCS	800000.0
ES532	Lignite	200000.0
ES532	Hcoal	0.0
ES532	Coal	400000.0
ES532	Gas_OCGT	200000.0
ES532	Oil	200000.0
ES532	Bio	200000.0
ES532	Geo	0.0
ES532	Nuclear	200000.0
ES532	Hydro_reg	0.0
ES532	Hydro_ror	0.0
ES532	Wave	0.0
ES532	Wind_onshr	202.002
ES532	Wind_offshr_grounded	0.0
ES532	Wind_offshr_floating	0.0
ES532	Solar	1930.931
ES532	Waste	714.0
ES532	Gas_CCGT	200000.0
ES611	CCS	800000.0
ES611	Lignite	200000.0
ES611	Hcoal	0.0
ES611	Coal	400000.0
ES611	Gas_OCGT	200000.0
ES611	Oil	200000.0
ES611	Bio	200000.0
ES611	Geo	0.0
ES611	Nuclear	200000.0
ES611	Hydro_reg	0.0
ES611	Hydro_ror	0.0
ES611	Wave	0.0
ES611	Wind_onshr	1030.983
ES611	Wind_offshr_grounded	0.0
ES611	Wind_offshr_floating	0.0
ES611	Solar	4246.81
ES611	Waste	714.0
ES611	Gas_CCGT	200000.0
ES612	CCS	800000.0
ES612	Lignite	200000.0
ES612	Hcoal	0.0
ES612	Coal	400000.0
ES612	Gas_OCGT	200000.0
ES612	Oil	200000.0
ES612	Bio	200000.0
ES612	Geo	0.0
ES612	Nuclear	200000.0
ES612	Hydro_reg	0.0
ES612	Hydro_ror	0.0
ES612	Wave	0.0
ES612	Wind_onshr	3395.053
ES612	Wind_offshr_grounded	0.0
ES612	Wind_offshr_floating	0.0
ES612	Solar	5771.954
ES612	Waste	714.0
ES612	Gas_CCGT	200000.0
ES613	CCS	800000.0
ES613	Lignite	200000.0
ES613	Hcoal	0.0
ES613	Coal	400000.0
ES613	Gas_OCGT	200000.0
ES613	Oil	200000.0
ES613	Bio	200000.0
ES613	Geo	0.0
ES613	Nuclear	200000.0
ES613	Hydro_reg	0.0
ES613	Hydro_ror	21.786
ES613	Wave	0.0
ES613	Wind_onshr	234.756
ES613	Wind_offshr_grounded	0.0
ES613	Wind_offshr_floating	0.0
ES613	Solar	2079.057
ES613	Waste	714.0
ES613	Gas_CCGT	200000.0
