tech,region,existing_mw,target_mw,factor,new_units,new_mw
Wind onshore,ES243,4196.6,9217.014892782006,2.1963053168712783,0,0.0
Wind onshore,ES300,63.0,50.00920937661766,0.7937969742320263,0,0.0
Wind onshore,ES412,1807.0,10194.266981593355,5.641542325176179,0,0.0
Wind onshore,ES413,508.0,403.246832592955,0.793792977545187,0,0.0
Wind onshore,ES414,810.0,2932.97292271428,3.620954225573185,0,0.0
Wind onshore,ES415,231.0,183.36576812073068,0.7937912039858471,0,0.0
Wind onshore,ES416,246.0,195.27310305896845,0.7937931018657254,0,0.0
Wind onshore,ES417,1638.2,868.5679047371702,0.530196499046008,0,0.0
Wind onshore,ES418,773.0,613.6020251823303,0.7937930468076718,0,0.0
Wind onshore,ES419,665.0,527.8724096073448,0.793793097153902,0,0.0
Wind onshore,ES421,2122.5,1684.8251773858608,0.7937927808649521,0,0.0
Wind onshore,ES422,276.0,219.0869751725363,0.793793388306291,0,0.0
Wind onshore,ES423,1588.4,1260.8607838567534,0.7937929890813104,0,0.0
Wind onshore,ES424,124.0,530.2538787442385,4.276240957614826,0,0.0
Wind onshore,ES425,179.0,142.0891382761249,0.7937940685817034,0,0.0
Wind onshore,ES431,20.0,15.876182493000893,0.7938091246500447,0,0.0
Wind onshore,ES432,148.0,117.481177162704,0.7937917375858379,0,0.0
Wind onshore,ES511,203.0,60.328366764802006,0.2971840727330148,0,0.0
Wind onshore,ES513,125.5,200.43308255343686,1.597076355007465,0,0.0
Wind onshore,ES514,878.0,696.9501748382775,0.7937929098385849,0,0.0
Wind onshore,ES521,91.0,72.23490223049721,0.7937901344010683,0,0.0
Wind onshore,ES522,914.8,726.1617703955197,0.7937929278481851,0,0.0
Wind onshore,ES523,575.0,456.43080355679115,0.7937927018378976,0,0.0
Wind onshore,ES611,492.0,429.4421703247655,0.8728499396844828,0,0.0
Wind onshore,ES612,1319.0,3134.1060327964947,2.3761228451830894,0,0.0
Wind onshore,ES614,439.0,348.4746876502227,0.7937919992032407,0,0.0
Wind onshore,ES615,351.0,278.62125215701343,0.7937927411880724,0,0.0
Wind onshore,ES617,716.0,568.3557540243521,0.7937929525479778,0,0.0
Wind onshore,ES618,184.0,146.05798310735835,0.7937933864530345,0,0.0
Wind onshore,ES620,331.0,223.84990929705165,0.6762837138883736,0,0.0
