unit_id,bus_id,region,primary_fuel,technology,cap_2024_mw,factor,cap_scen_mw
G0248,ES00343,ES618,Solar,PV,25.0,1.4208994820803449,35.52248705200862
G0251,ES00344,ES615,Solar,PV,407.9,4.038923197550366,1647.4767722807942
G0252,ES00345,ES618,Solar,PV,149.0,1.4208994820803449,211.71402282997138
G0253,ES00346,ES612,Solar,PV,385.1,4.4348474800916415,1707.8597645832913
G0265,ES00349,ES620,Solar,PV,41.1,3.3843446853283017,139.0965665669932
G0267,ES00350,ES620,Solar,PV,93.7,3.3843446853283017,317.11309701526187
G0268,ES00352,ES620,Solar,PV,4.5,3.3843446853283017,15.229551083977357
G0269,ES00353,ES521,Solar,PV,13.2,24.412140600375498,322.24025592495656
G0270,ES00354,ES611,Solar,PV,87.1,4.9158583087708925,428.1712586939447
G0271,ES00355,ES620,Solar,PV,8.6,3.3843446853283017,29.105364293823392
G0273,ES00359,ES523,Solar,PV,61.9,24.412136742852546,1511.1112643825725
G0275,ES00362,ES423,Solar,PV,630.1,3.6140506992326444,2277.213345586489
G0277,ES00364,ES421,Solar,PV,201.0,3.6140500136395435,726.4240527415483
G0278,ES00365,ES421,Solar,PV,85.4,3.6140500136395435,308.639871164817
G0282,ES00367,ES521,Solar,PV,51.1,24.412140600375498,1247.4603846791879
G0287,ES00372,ES514,Solar,PV,1.3,115.725023626342,150.44253071424458
G0291,ES00377,ES243,Solar,PV,32.6,7.767516796977641,253.2210475814711
G0292,ES00379,ES243,Solar,PV,2.0,7.767516796977641,15.535033593955282
G0296,ES00383,ES241,Solar,PV,27.1,0.5766644596681937,15.62760685700805
G0297,ES00384,ES241,Solar,PV,6.3,0.5766644596681937,3.63298609590962
G0298,ES00386,ES242,Solar,PV,55.5,9.063731927877996,503.0371219972287
G0299,ES00387,ES242,Solar,PV,63.2,9.063731927877996,572.8278578418893
G0301,ES00388,ES424,Solar,PV,3.1,1.4121116138268197,4.377546002863141
G0303,ES00390,ES424,Solar,PV,61.2,1.4121116138268197,86.42123076620138
G0305,ES00391,ES424,Solar,PV,1401.0,1.4121116138268197,1978.3683709713744
G0309,ES00393,ES423,Solar,PV,84.5,3.6140506992326444,305.38728408515846
G0310,ES00394,ES613,Solar,PV,10.4,0.6836665314152134,7.1101319267182195
G0311,ES00395,ES613,Solar,PV,9.8,0.6836665314152134,6.699932007869092
G0312,ES00396,ES616,Solar,PV,11.5,4.4348488881745345,51.000762214007146
G0313,ES00398,ES422,Solar,PV,120.0,0.6928539633413502,83.14247560096203
G0316,ES00399,ES422,Solar,PV,37.0,0.6928539633413502,25.635596643629956
G0317,ES00401,ES616,Solar,PV,4.6,4.4348488881745345,20.400304885602857
G0318,ES00402,ES422,Solar,PV,99.1,0.6928539633413502,68.6618277671278
G0319,ES00403,ES422,Solar,PV,150.0,0.6928539633413502,103.92809450120252
G0320,ES00404,ES422,Solar,PV,129.0,0.6928539633413502,89.37816127103417
G0321,ES00405,ES422,Solar,PV,502.8,0.6928539633413502,348.3669727680309
G0322,ES00406,ES432,Solar,PV,12.0,0.6008241850309632,7.209890220371559
G0324,ES00408,ES432,Solar,PV,305.9,0.6008241850309632,183.79211820097163
G0325,ES00411,ES431,Solar,PV,183.8,0.781903826885529,143.71392338156022
G0326,ES00413,ES242,Solar,PV,502.3,9.063731927877996,4552.712547373118
G0327,ES00416,ES522,Solar,PV,4.300000000000001,24.412140923484362,104.97220597098277
G0330,ES00424,ES431,Solar,PV,30.0,0.781903826885529,23.45711480656587
G0332,ES00426,ES412,Solar,PV,1.8,0.25170974229735477,0.4530775361352386
G0337,ES00438,ES513,Solar,PV,4.300000000000001,118.80587352274443,510.8652561478012
G0340,ES00440,ES513,Solar,PV,2.0,118.80587352274443,237.61174704548887
G0341,ES00441,ES513,Solar,PV,1.1,118.80587352274443,130.6864608750189
G0343,ES00445,ES513,Solar,PV,2.6,118.80587352274443,308.8952711591355
G0345,ES00446,ES513,Solar,PV,18.9,118.80587352274443,2245.4310095798696
G0347,ES00452,ES241,Solar,PV,12.8,0.5766644596681937,7.3813050837528795
G0349,ES00454,ES513,Solar,PV,5.8,118.80587352274443,689.0740664319177
G0350,ES00455,ES513,Solar,PV,1.2,118.80587352274443,142.56704822729333
G0351,ES00458,ES613,Solar,PV,110.9,0.6836665314152134,75.81861833394717
G0352,ES00459,ES243,Solar,PV,1.2,7.767516796977641,9.32102015637317
G0355,ES00461,ES220,Solar,PV,25.8,0.7758007378180574,20.01565903570588
G0357,ES00462,ES417,Solar,PV,1.9,0.45113284682299915,0.8571524089636984
G0359,ES00463,ES417,Solar,PV,21.7,0.45113284682299915,9.789582776059081
G0363,ES00466,ES243,Solar,PV,111.0,7.767516796977641,862.1943644645181
G0365,ES00467,ES243,Solar,PV,4.6,7.767516796977641,35.73057726609714
G0366,ES00469,ES243,Solar,PV,9.3,7.767516796977641,72.23790621189207
G0367,ES00472,ES425,Solar,PV,1.0,3.6140504368361532,3.6140504368361532
G0370,ES00475,ES425,Solar,PV,9.8,3.6140504368361532,35.417694280994304
G0372,ES00476,ES615,Solar,PV,109.7,4.038923197550366,443.0698747712751
G0374,ES00478,ES615,Solar,PV,8.4,4.038923197550366,33.92695485942308
G0381,ES00480,ES300,Solar,PV,1.3,6.540516814574585,8.502671858946961
G0382,ES00481,ES416,Solar,PV,152.6,4.525574532554243,690.6026736677775
G0384,ES00484,ES423,Solar,PV,198.3,3.6140506992326444,716.6662536578334
G0387,ES00490,ES425,Solar,PV,137.1,3.6140504368361532,495.4863148902366
G0388,ES00493,ES422,Solar,PV,1.3,0.6928539633413502,0.9007101523437553
G0392,ES00494,ES611,Solar,PV,27.1,4.9158583087708925,133.2197601676912
G0394,ES00495,ES614,Solar,PV,6.6,4.434847266067806,29.26999195604752
G0395,ES00497,ES611,Solar,PV,662.3,4.9158583087708925,3255.772957898962
G0399,ES00498,ES617,Solar,PV,115.0,4.434846911038422,510.0073947694185
G0400,ES00500,ES618,Solar,PV,48.1,1.4208994820803449,68.3452650880646
G0402,ES00506,ES614,Solar,PV,64.2,4.434847266067806,284.7171944815532
G0403,ES00508,ES521,Solar,PV,6.2,24.412140600375498,151.3552717223281
G0406,ES00510,ES521,Solar,PV,64.7,24.412140600375498,1579.4654968442949
G0407,ES00515,ES521,Solar,PV,1.1,24.412140600375498,26.85335466041305
G0409,ES00518,ES616,Solar,PV,167.4,4.4348488881745345,742.3937038804171
G0410,ES00519,ES425,Solar,PV,1.1,3.6140504368361532,3.975455480519769
G0414,ES00522,ES617,Solar,PV,24.7,4.434846911038422,109.54071870264902
G0417,ES00523,ES617,Solar,PV,2.4,4.434846911038422,10.643632586492211
G0418,ES00526,ES511,Solar,PV,2.4,108.00999992846765,259.22399982832235
G0419,ES00530,ES423,Solar,PV,119.5,3.6140506992326444,431.879058558301
G0420,ES00531,ES612,Solar,PV,120.1,4.4348474800916415,532.6251823590061
G0423,ES00533,ES220,Solar,PV,32.2,0.7758007378180574,24.98078375774145
G0424,ES00534,ES220,Solar,PV,21.0,0.7758007378180574,16.291815494179204
G0426,ES00537,ES613,Solar,PV,6.1,0.6836665314152134,4.170365841632801
G0428,ES00538,ES618,Solar,PV,15.5,1.4208994820803449,22.023941972245346
G0430,ES00539,ES618,Solar,PV,15.3,1.4208994820803449,21.73976207582928
G0433,ES00540,ES618,Solar,PV,44.3,1.4208994820803449,62.94584705615927
G0450,ES00560,ES417,Solar,PV,8.1,0.45113284682299915,3.654176059266293
G0452,ES00562,ES511,Solar,PV,1.6,108.00999992846765,172.81599988554825
G0454,ES00564,ES612,Solar,PV,20.4,4.4348474800916415,90.47088859386947
G0464,ES00595,ES211,Solar,PV,11.700000000000001,0.027069807192235378,0.31671674414915396
G0466,ES00597,ES241,Solar,PV,24.7,0.5766644596681937,14.243612153804383
G0470,ES00610,ES423,Solar,PV,52.9,3.6140506992326444,191.18328198940688
G0472,ES00611,ES422,Solar,PV,16.8,0.6928539633413502,11.639946584134684
G0474,ES00613,ES422,Solar,PV,101.1,0.6928539633413502,70.0475356938105
G0475,ES00614,ES523,Solar,PV,24.8,24.412136742852546,605.4209912227432
G0478,ES00619,ES523,Solar,PV,1.8,24.412136742852546,43.94184613713458
G0480,ES00623,ES615,Solar,PV,146.6,4.038923197550366,592.1061407608836
G0481,ES00625,ES512,Solar,PV,2.2,115.7250612883805,254.59513483443712
G0485,ES00631,ES241,Solar,PV,9.4,0.5766644596681937,5.420645920881021
G0489,ES00639,ES421,Solar,PV,717.3,3.6140500136395435,2592.3580747836445
G0493,ES00644,ES422,Solar,PV,54.599999999999994,0.6928539633413502,37.82982639843772
G0494,ES00645,ES431,Solar,PV,2.2,0.781903826885529,1.7201884191481638
G0497,ES00648,ES415,Solar,PV,18.5,0.6928539350490377,12.817797798407197
G0498,ES00649,ES431,Solar,PV,697.0,0.781903826885529,544.9869673392137
G0499,ES00651,ES431,Solar,PV,16.3,0.781903826885529,12.745032378234123
G0500,ES00652,ES615,Solar,PV,66.0,4.038923197550366,266.56893103832414
G0501,ES00653,ES242,Solar,PV,67.4,9.063731927877996,610.895531938977
G0505,ES00657,ES432,Solar,PV,55.4,0.6008241850309632,33.28565985071536
G0507,ES00662,ES415,Solar,PV,1.0,0.6928539350490377,0.6928539350490377
G0510,ES00666,ES243,Solar,PV,63.8,7.767516796977641,495.56757164717345
G0513,ES00668,ES415,Solar,PV,20.5,0.6928539350490377,14.203505668505272
G0515,ES00669,ES614,Solar,PV,8.4,4.434847266067806,37.25271703496958
G0516,ES00671,ES422,Solar,PV,21.1,0.6928539633413502,14.61921862650249
G0518,ES00674,ES432,Solar,PV,166.4,0.6008241850309632,99.97714438915229
G0519,ES00677,ES414,Solar,PV,1.4,1.0677399578060283,1.4948359409284395
G0521,ES00678,ES431,Solar,PV,265.2,0.781903826885529,207.36089489004226
G0522,ES00679,ES432,Solar,PV,30.0,0.6008241850309632,18.0247255509289
G0525,ES00683,ES532,Solar,PV,5.6,7.096402052144194,39.73985149200748
G0533,ES00691,ES412,Solar,PV,5.0,0.25170974229735477,1.2585487114867737
G0534,ES00694,ES419,Solar,PV,7.4,0.6928531861007874,5.127113577145827
G0535,ES00697,ES243,Solar,PV,60.5,7.767516796977641,469.9347662171473
G0538,ES00700,ES523,Solar,PV,7.4,24.412136742852546,180.64981189710886
G0541,ES00701,ES423,Solar,PV,47.4,3.6140506992326444,171.30600314362735
G0543,ES00703,ES418,Solar,PV,65.0,0.6928539299231395,45.03550544500407
G0545,ES00707,ES114,Solar,PV,1.2,0.6928224271692801,0.8313869126031361
G0547,ES00708,ES418,Solar,PV,127.8,0.6928539299231395,88.54673224417724
G0553,ES00713,ES414,Solar,PV,94.2,1.0677399578060283,100.58110402532786
G0554,ES00716,ES611,Solar,PV,2.7,4.9158583087708925,13.27281743368141
G0557,ES00722,ES230,Solar,PV,35.6,0.6287851257203391,22.384750475644072
G0558,ES00724,ES432,Solar,PV,5.1,0.6008241850309632,3.0642033436579124
