Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
ES613,Solar,2025-2030,0.19088267527493188
ES614,Solar,2020-2025,0.3925749220401127
ES614,Solar,2025-2030,13.32379057120369
ES615,Solar,2020-2025,0.3275676248041282
ES615,Solar,2025-2030,2.6223027461074255
ES616,Solar,2020-2025,0.09664885461001188
ES616,Solar,2025-2030,0.11608796068828353
ES617,Solar,2020-2025,0.11789141094716397
ES617,Solar,2025-2030,0.18027038413493549
ES618,Solar,2020-2025,0.3011302515664737
ES618,Solar,2025-2030,8.727750228406174
ES620,Solar,2020-2025,59.11706224681125
ES620,Solar,2025-2030,29.450142042358824
EU,Solar,2020-2025,0.0017818749961269224
EU,Solar,2025-2030,453.50142316326964
France,Solar,2020-2025,0.0002517347656009271
France,Solar,2025-2030,0.0005090797795010667
Italy,Solar,2020-2025,3352.3393251472744
Italy,Solar,2025-2030,4423.623889371268
Portugal,Solar,2020-2025,0.07526592453068709
Portugal,Solar,2025-2030,0.06852702726621077
