FromNode	ToNode	Period	transmisionInvCap
ES242	ES423	1	0.004651859896686585
ES242	ES423	2	0.0008312719836763953
ES242	ES424	1	0.004242260960121264
ES242	ES424	2	0.0011386923643658666
ES242	ES514	1	0.02040100707585244
ES242	ES514	2	0.09664371032823081
ES242	ES522	1	8.964874723460525e-05
ES242	ES522	2	9.33221419199572e-06
ES242	ES523	1	3.965277301176684e-06
ES242	ES523	2	7.927455570432385e-06
ES243	ES417	1	1.4633355476689758e-05
ES243	ES417	2	7.456253603553183e-06
ES243	ES424	1	3.0281835279311053e-05
ES243	ES424	2	2.6998304293682714e-05
ES243	ES513	1	7.49071500649734e-05
ES243	ES513	2	1.727072804283498e-05
ES243	ES514	1	4.370639726403169e-05
ES243	ES514	2	2.3342741624505525e-05
ES300	ES414	1	7.1671825025987346e-06
ES300	ES414	2	1.3278191510762502e-05
ES300	ES416	1	2.2694275685353205e-05
ES300	ES416	2	3.6759836185578466e-05
ES300	ES418	1	1.4442058272834402e-05
ES300	ES418	2	2.801902445726333e-05
ES300	ES423	1	1.7077536540455185e-05
ES300	ES423	2	6.0964802952107835e-06
ES300	ES424	1	2.0118516658840235e-05
ES300	ES424	2	1.2900442093435594e-05
ES300	ES425	1	1.856155358836986e-05
ES300	ES425	2	1.955939569370671e-05
ES300	ES432	1	2.114278140652459e-05
ES300	ES432	2	2.1546744376057792e-05
ES412	ES414	1	2.573825986473821e-05
ES412	ES414	2	3.0920865115997694e-05
ES412	ES416	1	303.60164556550245
ES412	ES416	2	183.72349511569203
ES412	ES417	1	0.009286757162131586
ES412	ES417	2	0.006188140361081147
ES412	ES418	1	222.85634379235913
ES412	ES418	2	333.58565216759587
ES413	ES414	1	3.064591146539897e-05
ES413	ES414	2	1.8953635529032364e-05
ES413	ES418	1	1.489090846007457e-05
ES413	ES418	2	2.3767736325643563e-05
ES413	ES419	1	0.00014146760804578662
ES413	ES419	2	0.00016503707488960224
ES414	ES415	1	6.968130946916062e-06
ES414	ES415	2	2.890550389407332e-06
ES414	ES418	1	1.9915413759008516e-05
ES414	ES418	2	3.558809171813768e-05
ES415	ES418	1	0.01862594644876001
ES415	ES418	2	1.987518932098394e-06
ES415	ES419	1	1.9264219190517906e-05
ES415	ES419	2	3.080973281740493e-05
ES415	ES432	1	1.6587485788477352e-05
ES415	ES432	2	9.699782907731619e-06
ES415	Portugal	1	0.0
ES415	Portugal	2	0.0
ES416	ES417	1	0.012180784089864387
ES416	ES417	2	2.276748954051973e-06
ES416	ES418	1	1.689678720140364e-05
ES416	ES418	2	5.4299698022994816e-05
ES416	ES424	1	0.22863725519772768
ES416	ES424	2	1.3484097926339208e-06
ES417	ES418	1	6.375165753524925e-05
ES417	ES418	2	2.791617759786354e-07
ES417	ES424	1	0.007609252655068503
ES417	ES424	2	0.00391672137163316
ES418	ES419	1	7.826369255781174e-05
ES418	ES419	2	1.8653725590474334e-05
ES419	Portugal	1	0.0
ES419	Portugal	2	0.0
ES421	ES422	1	1.1199066875633434e-05
ES421	ES422	2	1.0385198858445845e-05
ES421	ES423	1	5.004781996831298e-06
ES421	ES423	2	4.581734308726036e-06
ES421	ES521	1	1.7485824400864658e-05
ES421	ES521	2	1.1370930187932749e-05
ES421	ES523	1	7.535449412898743e-06
ES421	ES523	2	4.403506668148093e-06
ES421	ES614	1	0.04121320049639061
ES421	ES614	2	44.98083353546986
ES421	ES616	1	0.007306708635009285
ES421	ES616	2	0.0018216456096432727
ES421	ES620	1	1.3319692698132712e-05
ES421	ES620	2	1.0022229531939277e-05
ES422	ES423	1	0.0036197870199437235
ES422	ES423	2	0.0003868192655479443
ES422	ES425	1	6.9571401581924874e-06
ES422	ES425	2	5.825787220058952e-07
ES422	ES431	1	7.995229680091143e-06
