FromNode	ToNode	Period	transmisionInvCap
ES522	ES523	2	7.741094050490526e-06
ES523	ES532	1	1500.0
ES523	ES532	2	0.0
ES611	ES614	1	1.3769444649369689e-05
ES611	ES614	2	2.825182841578703e-07
ES611	ES620	1	6.307930561888497e-06
ES611	ES620	2	4.518587078796147e-06
ES612	ES615	1	0.0007741954371147344
ES612	ES615	2	1.6453016362214226e-06
ES612	ES617	1	1.0863004717975855e-07
ES612	ES617	2	1.108049154159841e-05
ES612	ES618	1	6.198477422003634e-06
ES612	ES618	2	2.0924692512419306e-06
ES613	ES614	1	0.0005187698166393491
ES613	ES614	2	5.0926824723511976e-05
ES613	ES616	1	2.4191313059418462e-06
ES613	ES616	2	1.1460544082332758e-05
ES613	ES617	1	3.1368522286356892e-06
ES613	ES617	2	2.991729249400845e-06
ES613	ES618	1	6.813880190748023e-06
ES613	ES618	2	4.374401451479497e-06
ES614	ES616	1	4.0529852185500204e-07
ES614	ES616	2	3.988745343567949e-06
ES614	ES617	1	4.828628334507812e-06
ES614	ES617	2	2.865603629925472e-06
ES614	ES620	1	0.0012464951713088601
ES614	ES620	2	0.03249782369442464
ES615	ES618	1	1.065840115188621e-05
ES615	ES618	2	2.122714606053796e-07
ES615	Portugal	1	0.0
ES615	Portugal	2	0.0
ES617	ES618	1	1.2042664820910431e-07
ES617	ES618	2	3.726771707578418e-07
EU	France	1	0.0
EU	France	2	1000.0
ES113	ES111	1	8.269921636383515e-07
ES113	ES111	2	2.4972047124006423e-07
ES422	ES432	1	4.003941285191104e-06
ES422	ES432	2	1.911857406844585e-06
ES618	ES422	1	3.4561001029942418e-06
ES618	ES422	2	2.4658328565372594e-06
ES213	France	1	0.0
ES213	France	2	0.0
