Timestep;a_0;a_1;a_2;a_3;a_4;a_5;a_6;a_7;a_8;a_9;a_10;a_11;a_12;a_13;a_14;a_15;a_16;a_17;a_18;a_19;a_20;a_21;a_22;a_23;a_24;a_25;a_26;a_27;a_28;a_29;a_30;a_31;a_32;a_33;a_34;a_35;a_36;b
0;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;-41.41901219377997;5.084936828572129e9
0;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;-42.42342393910872;5.097507428668777e9
0;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;-42.349912822859174;5.097454693131332e9
0;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;-41.74419166347552;5.095890634702975e9
0;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;-42.52297675861905;5.107735328537579e9
0;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;-42.31378106750775;5.107173713873244e9
0;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;-36.146583691065196;5.083255304305685e9
0;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;-35.5721380599419;5.080538045597437e9
0;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;-37.01147417018708;5.087266088495132e9
0;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;-38.16492326107337;5.093214212374292e9
