date,hour,country,bus_id,da_share_mw,redispatch_mw,delta_mw,lower_bound_mw,upper_bound_mw
2024-08-26,0,FR,ES00859,1205.574,1205.574,-0.0,0.0,4629.981
2024-08-26,0,PT,ES00813,0.0,0.0,0.0,0.0,0.0
2024-08-26,0,PT,ES01092,0.0,0.0,0.0,0.0,0.0
2024-08-26,0,PT,ES00817,0.0,0.0,0.0,0.0,0.0
2024-08-26,0,FR,ES00742,104.722,104.722,0.0,0.0,402.182
2024-08-26,0,FR,ES01126,595.751,595.751,-0.0,0.0,2287.97
2024-08-26,0,FR,ES00981,104.722,104.722,0.0,0.0,402.182
2024-08-26,0,PT,ES00818,0.0,0.0,0.0,0.0,0.0
2024-08-26,2,PT,ES00277,-924.807,-924.807,0.0,-11439.849,0.0
2024-08-26,2,FR,ES00859,1609.711,1609.711,-0.0,0.0,4629.981
2024-08-26,2,PT,ES00813,-31.79,-31.79,-0.0,-393.245,0.0
2024-08-26,2,PT,ES01092,-115.601,-115.601,0.0,-1429.981,0.0
2024-08-26,2,PT,ES00817,-115.601,-115.601,0.0,-1429.981,0.0
2024-08-26,2,FR,ES00742,139.827,139.827,0.0,0.0,402.182
2024-08-26,2,FR,ES01126,795.461,795.461,-0.0,0.0,2287.97
2024-08-26,2,FR,ES00981,139.827,139.827,0.0,0.0,402.182
2024-08-26,2,PT,ES00818,-115.601,-115.601,0.0,-1429.981,0.0
2024-08-26,3,PT,ES00277,-897.109,-897.109,0.0,-11439.849,0.0
2024-08-26,3,FR,ES00859,1799.007,1799.007,-0.0,0.0,4629.981
2024-08-26,3,PT,ES00813,-30.838,-30.838,-0.0,-393.245,0.0
2024-08-26,3,PT,ES01092,-112.139,-112.139,0.0,-1429.981,0.0
2024-08-26,3,PT,ES00817,-112.139,-112.139,0.0,-1429.981,0.0
2024-08-26,3,FR,ES00742,156.27,156.27,0.0,0.0,402.182
2024-08-26,3,FR,ES01126,889.004,889.004,-0.0,0.0,2287.97
2024-08-26,3,FR,ES00981,156.27,156.27,0.0,0.0,402.182
2024-08-26,3,PT,ES00818,-112.139,-112.139,0.0,-1429.981,0.0
2024-08-26,5,PT,ES00277,-252.844,-0.0,252.844,-11439.849,0.0
2024-08-26,5,FR,ES00859,3906.278,3422.922,-483.356,0.0,4629.981
2024-08-26,5,PT,ES00813,-8.692,-0.0,8.692,-393.245,0.0
2024-08-26,5,PT,ES01092,-31.605,-356.352,-324.746,-1429.981,0.0
2024-08-26,5,PT,ES00817,-31.605,-0.0,31.605,-1429.981,0.0
2024-08-26,5,FR,ES00742,339.318,402.182,62.864,0.0,402.182
2024-08-26,5,FR,ES01126,1930.342,2287.97,357.628,0.0,2287.97
2024-08-26,5,FR,ES00981,339.318,402.182,62.864,0.0,402.182
