date,hour,branch_id,branch_name,from_bus,to_bus,from_bus_id,to_bus_id,from_nuts3,to_nuts3,asset_class,reinforcement_eligible,diagnostic_multiplier,base_line_rating_factor,flow_mw,flow_mvar,limit_mw,loading_pct
2025-06-24,12,400,LTGES0273,286,285,ES00289,ES00288,ES532,ES532,intra_nuts3,true,10.0,0.8,-118.88,0.0,3932.45,3.0
2025-06-30,18,1227,LTGES0805b,959,458,ES00970,ES00461,ES220,ES220,intra_nuts3,true,10.0,0.8,-236.84,0.0,7864.9,3.0
2025-06-29,7,365,LTGES0250,554,104,ES00559,ES00104,ES120,ES120,intra_nuts3,true,10.0,0.8,433.77,0.0,14299.81,3.0
2025-06-25,15,935,LTGES0628b,14,681,ES00014,ES00688,ES300,ES300,intra_nuts3,true,10.0,0.8,846.8,0.0,28599.62,3.0
2025-06-30,18,1226,LTGES0805a,959,458,ES00970,ES00461,ES220,ES220,intra_nuts3,true,10.0,0.8,-236.84,0.0,7864.9,3.0
2025-06-25,15,1345,LTGES0887,724,973,ES00733,ES00984,ES120,ES120,intra_nuts3,true,10.0,0.8,433.73,0.0,14299.81,3.0
2025-06-30,18,1356,LTGES0893,161,717,ES00164,ES00726,ES413,ES413,intra_nuts3,true,10.0,0.8,-119.69,0.0,3932.45,3.0
2025-06-25,15,1308,LTGES0860b,556,557,ES00561,ES00562,ES511,ES511,intra_nuts3,true,10.0,0.8,234.85,0.0,7864.9,3.0
2025-06-30,20,1065,LTGES0704,1116,496,ES01134,ES00499,ES618,ES618,intra_nuts3,true,10.0,0.8,119.73,0.0,3932.45,3.0
2024-08-26,9,1652,LTGES1088a,155,157,ES00158,ES00160,ES432,ES432,intra_nuts3,true,10.0,0.8,233.5,0.0,7864.9,3.0
2025-06-25,15,1307,LTGES0860a,556,557,ES00561,ES00562,ES511,ES511,intra_nuts3,true,10.0,0.8,234.85,0.0,7864.9,3.0
2025-06-29,20,1778,LTGES1169,787,1105,ES00796,ES01123,ES113,ES113,intra_nuts3,true,10.0,0.8,-118.09,0.0,3932.45,3.0
2024-08-26,8,739,LTGES0508b,33,19,ES00033,ES00019,ES300,ES300,intra_nuts3,true,10.0,0.8,853.12,0.0,28599.62,3.0
2025-06-25,15,2104,LTGES1392b,1141,237,ES01161,ES00240,ES242,ES522,inter_nuts3,false,1.0,0.8,-167.13,0.0,5719.92,2.9
2024-08-26,8,1089,LTGES0718,498,177,ES00501,ES00180,ES617,ES617,intra_nuts3,true,10.0,0.8,-112.38,0.0,3932.45,2.9
2025-06-27,19,1384,LTGES0909,543,541,ES00548,ES00546,ES113,ES113,intra_nuts3,true,10.0,0.8,114.24,0.0,3932.45,2.9
2025-06-24,12,2217,TR_9425d6c7,640,641,ES00646,ES00647,ES431,ES431,intra_nuts3,true,10.0,0.8,172.5,0.0,6000.0,2.9
2024-08-26,8,2230,TR_5c931ebf,762,763,ES00771,ES00772,ES120,ES120,intra_nuts3,true,10.0,0.8,-46.15,0.0,1600.0,2.9
2025-06-29,20,634,LTGES0439b,248,122,ES00251,ES00122,ES523,ES523,intra_nuts3,true,10.0,0.8,832.74,0.0,28599.62,2.9
2024-08-26,17,191,LTGES0139b,173,130,ES00176,ES00130,ES419,ES419,intra_nuts3,true,10.0,0.8,-828.14,0.0,28599.62,2.9
2025-06-25,15,1028,LTGES0679,471,296,ES00474,ES00299,ES300,ES300,intra_nuts3,true,10.0,0.8,113.75,0.0,3932.45,2.9
2025-06-24,13,698,LTGES0478a,395,399,ES00398,ES00402,ES422,ES422,intra_nuts3,true,10.0,0.8,226.74,0.0,7864.9,2.9
2024-08-26,8,2195,TR_0e0d82af,127,128,ES00127,ES00128,ES415,ES415,intra_nuts3,true,10.0,0.8,686.42,0.0,24000.0,2.9
2025-06-24,13,699,LTGES0478b,395,399,ES00398,ES00402,ES422,ES422,intra_nuts3,true,10.0,0.8,226.74,0.0,7864.9,2.9
2025-06-25,15,1081,LTGES0714a,192,503,ES00195,ES00506,ES614,ES614,intra_nuts3,true,10.0,0.8,226.94,0.0,7864.9,2.9
2025-06-25,15,2105,LTGES1392c,1141,237,ES01161,ES00240,ES242,ES522,inter_nuts3,false,1.0,0.8,-167.13,0.0,5719.92,2.9
2024-08-26,17,190,LTGES0139a,173,130,ES00176,ES00130,ES419,ES419,intra_nuts3,true,10.0,0.8,-828.14,0.0,28599.62,2.9
2024-08-26,17,2187,TR_1f77d9ec,322,323,ES00325,ES00326,ES415,ES415,intra_nuts3,true,10.0,0.8,-173.73,0.0,6000.0,2.9
2024-08-22,16,1118,LTGES0738,364,510,ES00367,ES00513,ES521,ES521,intra_nuts3,true,10.0,0.8,115.0,0.0,3932.45,2.9
2025-06-25,15,1408,LTGES0925,570,153,ES00575,ES00156,ES413,ES413,intra_nuts3,true,10.0,0.8,115.73,0.0,3932.45,2.9
2025-06-25,15,2106,LTGES1392d,1141,237,ES01161,ES00240,ES242,ES522,inter_nuts3,false,1.0,0.8,-167.13,0.0,5719.92,2.9
2024-08-24,17,1272,LTGES0836,108,543,ES00108,ES00548,ES113,ES113,intra_nuts3,true,10.0,0.8,112.27,0.0,3932.45,2.9
2025-06-24,12,199,LTGES0144,160,174,ES00163,ES00177,ES413,ES413,intra_nuts3,true,10.0,0.8,-416.56,0.0,14299.81,2.9
2025-06-29,20,633,LTGES0439a,248,122,ES00251,ES00122,ES523,ES523,intra_nuts3,true,10.0,0.8,832.74,0.0,28599.62,2.9
2025-06-24,12,1200,LTGES0791b,694,525,ES00701,ES00530,ES423,ES423,intra_nuts3,true,10.0,0.8,-229.39,0.0,7864.9,2.9
2024-08-22,10,1048,LTGES0692,490,1049,ES00493,ES01063,ES422,ES422,intra_nuts3,true,10.0,0.8,-112.64,0.0,3932.45,2.9
2025-06-24,12,1199,LTGES0791a,694,525,ES00701,ES00530,ES423,ES423,intra_nuts3,true,10.0,0.8,-229.39,0.0,7864.9,2.9
2025-06-25,15,1082,LTGES0714b,192,503,ES00195,ES00506,ES614,ES614,intra_nuts3,true,10.0,0.8,226.94,0.0,7864.9,2.9
2025-06-25,15,2103,LTGES1392a,1141,237,ES01161,ES00240,ES242,ES522,inter_nuts3,false,1.0,0.8,-167.13,0.0,5719.92,2.9
2025-06-30,20,2108,LTGES1394,63,1217,ES00063,ES01238,ES243,ES243,intra_nuts3,true,10.0,0.8,-112.62,0.0,3932.45,2.9
2024-08-26,8,2021,LTGES1331,925,926,ES00936,ES00937,ES617,ES617,intra_nuts3,true,10.0,0.8,-110.58,0.0,3932.45,2.8
2025-06-27,8,712,LTGES0489,405,846,ES00408,ES00855,ES432,ES432,intra_nuts3,true,10.0,0.8,-111.03,0.0,3932.45,2.8
2025-06-29,20,1340,LTGES0883a,769,222,ES00778,ES00225,ES130,ES130,intra_nuts3,true,10.0,0.8,-218.54,0.0,7864.9,2.8
2024-08-22,9,2298,TR_b4c6d83c,299,300,ES00302,ES00303,ES243,ES243,intra_nuts3,true,10.0,0.8,-68.26,0.0,2400.0,2.8
2025-06-27,8,715,LTGES0491,846,405,ES00855,ES00408,ES432,ES432,intra_nuts3,true,10.0,0.8,111.03,0.0,3932.45,2.8
2024-08-26,8,2227,TR_dd8f0a25,764,765,ES00773,ES00774,ES120,ES120,intra_nuts3,true,10.0,0.8,-45.26,0.0,1600.0,2.8
2025-06-25,15,1670,LTGES1101a,493,491,ES00496,ES00494,ES611,ES611,intra_nuts3,true,10.0,0.8,216.38,0.0,7864.9,2.8
2025-06-25,15,1671,LTGES1101b,493,491,ES00496,ES00494,ES611,ES611,intra_nuts3,true,10.0,0.8,216.38,0.0,7864.9,2.8
2025-06-27,8,245,LTGES0174,213,169,ES00216,ES00172,ES511,ES511,intra_nuts3,true,10.0,0.8,108.15,0.0,3932.45,2.8
2025-06-29,20,1341,LTGES0883b,769,222,ES00778,ES00225,ES130,ES130,intra_nuts3,true,10.0,0.8,-218.54,0.0,7864.9,2.8
2024-08-26,8,1086,LTGES0716b,927,177,ES00938,ES00180,ES617,ES617,intra_nuts3,true,10.0,0.8,-216.02,0.0,7864.9,2.7
2025-06-30,19,2110,LTGES1397,301,1084,ES00304,ES01102,ES241,ES241,intra_nuts3,true,10.0,0.8,-107.21,0.0,3932.45,2.7
2025-06-25,15,937,LTGES0629b,681,19,ES00688,ES00019,ES300,ES300,intra_nuts3,true,10.0,0.8,768.8,0.0,28599.62,2.7
2025-06-24,9,991,LTGES0661a,904,477,ES00915,ES00480,ES300,ES300,intra_nuts3,true,10.0,0.8,764.86,0.0,28599.62,2.7
2024-08-24,20,1502,LTGES0987b,97,531,ES00097,ES00536,ES212,ES212,intra_nuts3,true,10.0,0.8,209.59,0.0,7864.9,2.7
