Source:_M:\Work\codes\Energy_vision_scenarios\data\EMPIRE\Data_handler_Trinity_EU\Transmission.xlsx_+_data/IAMC/Spain/Spain_IAMC.xlsx	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES521	ES523	7	8133.01777202042
ES521	ES620	1	28957.1182212594
ES521	ES620	2	28957.1182212594
ES521	ES620	3	28957.1182212594
ES521	ES620	4	28957.1182212594
ES521	ES620	5	28957.1182212594
ES521	ES620	6	28957.1182212594
ES521	ES620	7	28957.1182212594
ES522	ES523	1	9792.87670192982
ES522	ES523	2	9792.87670192982
ES522	ES523	3	9792.87670192982
ES522	ES523	4	9792.87670192982
ES522	ES523	5	9792.87670192982
ES522	ES523	6	9792.87670192982
ES522	ES523	7	9792.87670192982
ES523	ES532	1	1900.0
ES523	ES532	2	1900.0
ES523	ES532	3	1900.0
ES523	ES532	4	1900.0
ES523	ES532	5	1900.0
ES523	ES532	6	1900.0
ES523	ES532	7	1900.0
ES611	ES614	1	5541.17694357434
ES611	ES614	2	5541.17694357434
ES611	ES614	3	5541.17694357434
ES611	ES614	4	5541.17694357434
ES611	ES614	5	5541.17694357434
ES611	ES614	6	5541.17694357434
ES611	ES614	7	5541.17694357434
ES611	ES620	1	10724.85860046648
ES611	ES620	2	10724.85860046648
ES611	ES620	3	10724.85860046648
ES611	ES620	4	10724.85860046648
ES611	ES620	5	10724.85860046648
ES611	ES620	6	10724.85860046648
ES611	ES620	7	10724.85860046648
ES612	ES615	1	1500.0
ES612	ES615	2	1500.0
ES612	ES615	3	1500.0
ES612	ES615	4	1500.0
ES612	ES615	5	1500.0
ES612	ES615	6	1500.0
ES612	ES615	7	1500.0
ES612	ES617	1	13048.57796390088
