Source:_M:\Work\codes\Energy_vision_scenarios\data\EMPIRE\Data_handler_Trinity_EU\Transmission.xlsx_+_data/IAMC/Spain/Spain_IAMC.xlsx	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES431	ES618	1	14158.93818624345
ES431	ES618	2	14158.93818624345
ES431	ES618	3	14158.93818624345
ES431	ES618	4	14158.93818624345
ES431	ES618	5	14158.93818624345
ES431	ES618	6	14158.93818624345
ES431	ES618	7	14158.93818624345
ES431	Portugal	1	1787.47643341108
ES431	Portugal	2	1787.47643341108
ES431	Portugal	3	1787.47643341108
ES431	Portugal	4	1787.47643341108
ES431	Portugal	5	1787.47643341108
ES431	Portugal	6	1787.47643341108
ES431	Portugal	7	1787.47643341108
ES432	ES616	1	1787.47643341108
ES432	ES616	2	1787.47643341108
ES432	ES616	3	1787.47643341108
ES432	ES616	4	1787.47643341108
ES432	ES616	5	1787.47643341108
ES432	ES616	6	1787.47643341108
ES432	ES616	7	1787.47643341108
ES432	Portugal	1	1787.47643341108
ES432	Portugal	2	1787.47643341108
ES432	Portugal	3	1787.47643341108
ES432	Portugal	4	1787.47643341108
ES432	Portugal	5	1787.47643341108
ES432	Portugal	6	1787.47643341108
ES432	Portugal	7	1787.47643341108
ES511	ES512	1	7392.42930023324
ES511	ES512	2	7392.42930023324
ES511	ES512	3	7392.42930023324
ES511	ES512	4	7392.42930023324
ES511	ES512	5	7392.42930023324
ES511	ES512	6	7392.42930023324
ES511	ES512	7	7392.42930023324
ES511	ES513	1	8094.65337698543
ES511	ES513	2	8094.65337698543
ES511	ES513	3	8094.65337698543
ES511	ES513	4	8094.65337698543
ES511	ES513	5	8094.65337698543
ES511	ES513	6	8094.65337698543
ES511	ES513	7	8094.65337698543
ES511	ES514	1	15953.2271681939
ES511	ES514	2	15953.2271681939
ES511	ES514	3	15953.2271681939
ES511	ES514	4	15953.2271681939
ES511	ES514	5	15953.2271681939
ES511	ES514	6	15953.2271681939
ES511	ES514	7	15953.2271681939
ES512	France	1	2859.96229345773
ES512	France	2	2859.96229345773
ES512	France	3	2859.96229345773
ES512	France	4	2859.96229345773
ES512	France	5	2859.96229345773
ES512	France	6	2859.96229345773
ES512	France	7	2859.96229345773
ES513	ES514	1	983.112038376094
ES513	ES514	2	983.112038376094
ES513	ES514	3	983.112038376094
ES513	ES514	4	983.112038376094
ES513	ES514	5	983.112038376094
ES513	ES514	6	983.112038376094
ES513	ES514	7	983.112038376094
ES514	ES522	1	1787.47643341108
ES514	ES522	2	1787.47643341108
ES514	ES522	3	1787.47643341108
ES514	ES522	4	1787.47643341108
ES514	ES522	5	1787.47643341108
