Source:_Reference_(distributed)	Unnamed:_1	Unnamed:_2	Unnamed:_3
ES612	HydroPumpStorage	5	10638.298
ES612	HydroPumpStorage	6	10638.298
ES612	HydroPumpStorage	7	10638.298
ES612	Li-Ion_BESS	1	10638.298
ES612	Li-Ion_BESS	2	10638.298
ES612	Li-Ion_BESS	3	10638.298
ES612	Li-Ion_BESS	4	10638.298
ES612	Li-Ion_BESS	5	10638.298
ES612	Li-Ion_BESS	6	10638.298
ES612	Li-Ion_BESS	7	10638.298
ES613	HydroPumpStorage	1	10638.298
ES613	HydroPumpStorage	2	10638.298
ES613	HydroPumpStorage	3	10638.298
ES613	HydroPumpStorage	4	10638.298
ES613	HydroPumpStorage	5	10638.298
ES613	HydroPumpStorage	6	10638.298
ES613	HydroPumpStorage	7	10638.298
ES613	Li-Ion_BESS	1	10638.298
ES613	Li-Ion_BESS	2	10638.298
ES613	Li-Ion_BESS	3	10638.298
ES613	Li-Ion_BESS	4	10638.298
ES613	Li-Ion_BESS	5	10638.298
ES613	Li-Ion_BESS	6	10638.298
ES613	Li-Ion_BESS	7	10638.298
ES614	HydroPumpStorage	1	10638.298
ES614	HydroPumpStorage	2	10638.298
ES614	HydroPumpStorage	3	10638.298
ES614	HydroPumpStorage	4	10638.298
ES614	HydroPumpStorage	5	10638.298
ES614	HydroPumpStorage	6	10638.298
ES614	HydroPumpStorage	7	10638.298
ES614	Li-Ion_BESS	1	10638.298
ES614	Li-Ion_BESS	2	10638.298
ES614	Li-Ion_BESS	3	10638.298
ES614	Li-Ion_BESS	4	10638.298
ES614	Li-Ion_BESS	5	10638.298
ES614	Li-Ion_BESS	6	10638.298
ES614	Li-Ion_BESS	7	10638.298
ES615	HydroPumpStorage	1	10638.298
ES615	HydroPumpStorage	2	10638.298
ES615	HydroPumpStorage	3	10638.298
ES615	HydroPumpStorage	4	10638.298
ES615	HydroPumpStorage	5	10638.298
ES615	HydroPumpStorage	6	10638.298
ES615	HydroPumpStorage	7	10638.298
ES615	Li-Ion_BESS	1	10638.298
ES615	Li-Ion_BESS	2	10638.298
ES615	Li-Ion_BESS	3	10638.298
ES615	Li-Ion_BESS	4	10638.298
ES615	Li-Ion_BESS	5	10638.298
ES615	Li-Ion_BESS	6	10638.298
ES615	Li-Ion_BESS	7	10638.298
ES616	HydroPumpStorage	1	10638.298
ES616	HydroPumpStorage	2	10638.298
ES616	HydroPumpStorage	3	10638.298
ES616	HydroPumpStorage	4	10638.298
ES616	HydroPumpStorage	5	10638.298
ES616	HydroPumpStorage	6	10638.298
ES616	HydroPumpStorage	7	10638.298
ES616	Li-Ion_BESS	1	10638.298
ES616	Li-Ion_BESS	2	10638.298
ES616	Li-Ion_BESS	3	10638.298
ES616	Li-Ion_BESS	4	10638.298
ES616	Li-Ion_BESS	5	10638.298
ES616	Li-Ion_BESS	6	10638.298
ES616	Li-Ion_BESS	7	10638.298
ES617	HydroPumpStorage	1	10638.298
ES617	HydroPumpStorage	2	10638.298
ES617	HydroPumpStorage	3	10638.298
ES617	HydroPumpStorage	4	10638.298
ES617	HydroPumpStorage	5	10638.298
ES617	HydroPumpStorage	6	10638.298
ES617	HydroPumpStorage	7	10638.298
ES617	Li-Ion_BESS	1	10638.298
ES617	Li-Ion_BESS	2	10638.298
ES617	Li-Ion_BESS	3	10638.298
ES617	Li-Ion_BESS	4	10638.298
ES617	Li-Ion_BESS	5	10638.298
ES617	Li-Ion_BESS	6	10638.298
ES617	Li-Ion_BESS	7	10638.298
ES618	HydroPumpStorage	1	10638.298
ES618	HydroPumpStorage	2	10638.298
ES618	HydroPumpStorage	3	10638.298
ES618	HydroPumpStorage	4	10638.298
ES618	HydroPumpStorage	5	10638.298
ES618	HydroPumpStorage	6	10638.298
ES618	HydroPumpStorage	7	10638.298
ES618	Li-Ion_BESS	1	10638.298
ES618	Li-Ion_BESS	2	10638.298
ES618	Li-Ion_BESS	3	10638.298
ES618	Li-Ion_BESS	4	10638.298
ES618	Li-Ion_BESS	5	10638.298
ES618	Li-Ion_BESS	6	10638.298
