date,hour,branch_id,branch_name,from_bus,to_bus,flow_mw,flow_mvar,limit_mw,loading_pct
2024-07-08,0,894,LTGES0604c,280,892,63.53,-3.87,1179.73,5.4
2024-07-08,0,1231,LTGES0808,529,1140,-108.38,16.37,393.24,27.9
2024-07-08,0,1939,LTGES1269a,572,416,54.04,-1.24,786.49,6.9
2024-07-08,0,1720,LTGES1132a,182,627,-2.28,5.96,786.49,0.8
2024-07-08,0,1758,LTGES1156a,599,485,-103.61,-11.64,786.49,13.3
2024-07-08,0,2289,TR_4cb0b32d,276,277,0.43,-9.81,384.0,2.6
2024-07-08,0,1083,LTGES0715a,927,504,39.92,-2.51,786.49,5.1
2024-07-08,0,1780,LTGES1172,1106,272,-149.8,0.27,393.24,38.1
2024-07-08,0,554,LTGES0384,820,336,-6.38,24.29,393.24,6.4
2024-07-08,0,623,LTGES0433a,1145,350,242.4,-60.08,2859.96,8.7
2024-07-08,0,249,LTGES0178,876,879,96.41,-7.38,393.24,24.6
2024-07-08,0,485,LTGES0335,313,799,12.88,-1.45,393.24,3.3
2024-07-08,0,2179,TR_2ba8192a,123,124,-13.89,-21.72,384.0,6.7
2024-07-08,0,636,LTGES0441,833,204,-288.66,53.63,393.24,74.7
2024-07-08,0,1736,LTGES1143a,1094,939,-14.37,-0.42,786.49,1.8
2024-07-08,0,1239,LTGES0813,215,97,22.48,-11.65,393.24,6.4
2024-07-08,0,1659,LTGES1094b,476,35,-13.25,-101.28,2859.96,3.6
2024-07-08,0,1290,LTGES0850a,170,552,16.72,-0.18,786.49,2.1
2024-07-08,0,1613,LTGES1063b,1059,609,-7.31,-4.39,786.49,1.1
2024-07-08,0,2246,TR_71979234,1103,1104,-155.1,14.19,240.0,64.9
2024-07-08,0,346,LTGES0238b,757,259,8.62,0.16,270.7,3.2
2024-07-08,0,1220,LTGES0801b,527,958,-6.73,-0.24,786.49,0.9
2024-07-08,0,542,LTGES0377a,819,333,-77.24,-60.11,786.49,12.4
