date,hour,gen_id,unit_name,fuel,technology,bus_i,capacity_mw,dispatch_mw,dispatch_mvar,utilization_pct,cost_eur_per_mwh
2024-12-02,15,1803,LS_ES01028,LoadShed,LoadShed,1014,25.02,-0.0,5.09,-0.0,10000.0
2024-12-02,15,1398,LS_ES00737,LoadShed,LoadShed,728,54.6,-0.0,4.86,-0.0,10000.0
2024-12-02,15,1610,LS_ES00553,LoadShed,LoadShed,548,117.94,-0.0,3.55,-0.0,10000.0
2024-12-02,15,179,G0137,Wind,Onshore,204,47.21,3.35,0.0,100.0,0.18
2024-12-02,15,993,BESS_ES00228,Battery,Li-Ion,225,0.0,0.0,0.0,100.0,0.0
2024-12-02,15,905,G0960,Hydro,run_of_river,1122,37.43,37.43,-18.13,100.0,0.0
2024-12-02,15,1406,LS_ES00580,LoadShed,LoadShed,575,16.24,-0.0,14.42,-0.0,10000.0
2024-12-02,15,782,G0826,Solar,PV,1132,150.76,34.47,0.09,100.0,0.0
2024-12-02,15,1320,LS_ES00691,LoadShed,LoadShed,684,11.89,-0.0,11.89,-0.0,10000.0
2024-12-02,15,239,G0396,Wind,Onshore,494,102.28,7.26,2.38,100.0,0.18
2024-12-02,15,911,G0966,Hydro,run_of_river,1028,2.25,2.25,-0.0,100.0,0.0
2024-12-02,15,1200,LS_ES00947,LoadShed,LoadShed,936,12.04,-0.0,5.2,-0.0,10000.0
2024-12-02,15,737,G0702,Solar,PV,948,134.6,30.78,2.13,100.0,0.0
2024-12-02,15,1032,LS_ES00750,LoadShed,LoadShed,741,8.66,-0.0,8.66,-0.0,10000.0
2024-12-02,15,1822,LS_ES00213,LoadShed,LoadShed,210,36.57,-0.0,36.21,-0.0,10000.0
2024-12-02,15,889,G0944,Hydro,run_of_river,952,37.43,37.43,1.32,100.0,0.0
2024-12-02,15,1528,LS_ES00192,LoadShed,LoadShed,189,120.4,-0.0,22.59,-0.0,10000.0
2024-12-02,15,1817,LS_ES00836,LoadShed,LoadShed,827,49.04,-0.0,8.75,-0.0,10000.0
2024-12-02,15,525,G0237,Solar,PV,326,110.91,25.36,8.33,100.0,0.0
2024-12-02,15,1403,LS_ES00758,LoadShed,LoadShed,749,74.72,-0.0,74.72,-0.0,10000.0
2024-12-02,15,488,G0123,Solar,PV,190,419.16,95.84,31.5,100.0,0.0
2024-12-02,15,2039,LS_ES01204,LoadShed,LoadShed,1184,1.68,-0.0,1.68,-0.0,10000.0
2024-12-02,15,458,G0043,Solar,PV,75,705.33,161.28,-1.84,100.0,0.0
2024-12-02,15,745,G0729,Solar,PV,967,157.49,36.01,0.83,100.0,0.0
2024-12-02,15,696,G0621,Solar,PV,826,394.93,90.3,1.72,100.0,0.0
2024-12-02,15,1865,LS_ES00839,LoadShed,LoadShed,830,3.96,-0.0,3.56,-0.0,10000.0
2024-12-02,15,1450,LS_ES00843,LoadShed,LoadShed,834,86.38,-0.0,52.01,-0.0,10000.0
2024-12-02,15,1541,LS_ES00482,LoadShed,LoadShed,479,57.98,-0.0,57.97,-0.0,10000.0
2024-12-02,15,1877,LS_ES00910,LoadShed,LoadShed,901,23.02,-0.0,2.16,-0.0,10000.0
2024-12-02,15,668,G0559,Solar,PV,717,6.19,1.42,0.0,100.0,0.0
2024-12-02,15,45,G0170,Gas,Combined_cycle,264,21.78,13.12,0.05,60.2,44.98
2024-12-02,15,1427,LS_ES01035,LoadShed,LoadShed,1021,10.23,-0.0,1.89,-0.0,10000.0
2024-12-02,15,1910,LS_ES00648,LoadShed,LoadShed,642,43.02,-0.0,8.43,-0.0,10000.0
2024-12-02,15,1663,LS_ES00888,LoadShed,LoadShed,879,48.5,-0.0,12.65,-0.0,10000.0
2024-12-02,15,436,G0302,Hydro,pumped_storage,386,334.0,334.0,-64.37,100.0,0.04
