date,hour,gen_id,fuel,technology,dispatch_mw
2024-07-08,11,LS_ES00422,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01146,LoadShed,LoadShed,0.0
2024-07-08,11,G0058,Coal,Coal,0.0
2024-07-08,11,LS_ES00455,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00965,LoadShed,LoadShed,0.0
2024-07-08,11,G0435,Wind,Onshore,0.0
2024-07-08,11,LS_ES01136,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01075,LoadShed,LoadShed,0.0
2024-07-08,11,G0101,Wind,Onshore,0.0
2024-07-08,11,G0425,Wind,Onshore,0.0
2024-07-08,11,G0314,Oil,Combined_cycle,0.0
2024-07-08,11,G0226,Hydro,reservoir,0.0
2024-07-08,11,LS_ES00225,LoadShed,LoadShed,0.0
2024-07-08,11,G0378,Gas,Combined_cycle,0.0
2024-07-08,11,G0159,Wind,Onshore,0.0
2024-07-08,11,LS_ES00891,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00009,LoadShed,LoadShed,0.0
2024-07-08,11,G0816,Wind,Onshore,0.0
2024-07-08,11,G0745,Gas,Combined_cycle,0.0
2024-07-08,11,G0728,Wind,Onshore,0.0
2024-07-08,11,BESS_ES00219,Battery,Li-Ion,0.0
2024-07-08,11,LS_ES00639,LoadShed,LoadShed,0.0
2024-07-08,11,G0743,Hydro,reservoir,0.0
2024-07-08,11,G0038,Wind,Onshore,0.0
2024-07-08,11,G0210,Gas,Combined_cycle,0.0
2024-07-08,11,LS_ES00662,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00826,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00805,LoadShed,LoadShed,0.0
2024-07-08,11,G0814,Gas,Combined_cycle,0.0
2024-07-08,11,LS_ES00870,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01090,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00632,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00994,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01238,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01259,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00055,LoadShed,LoadShed,0.0
2024-07-08,11,G0530,Gas,Combined_cycle,0.0
2024-07-08,11,LS_ES01214,LoadShed,LoadShed,0.0
2024-07-08,11,G0746,Biomass,Biomass,0.0
2024-07-08,11,LS_ES00434,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01177,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00620,LoadShed,LoadShed,0.0
2024-07-08,11,G0572,Wind,Onshore,0.0
2024-07-08,11,LS_ES00569,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00865,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00551,LoadShed,LoadShed,0.0
2024-07-08,11,G0626,Wind,Onshore,0.0
2024-07-08,11,LS_ES00918,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00550,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00333,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00473,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00462,LoadShed,LoadShed,0.0
2024-07-08,11,G0262,Gas,Combined_cycle,0.0
2024-07-08,11,LS_ES01215,LoadShed,LoadShed,0.0
2024-07-08,11,G0369,Hydro,reservoir,0.0
2024-07-08,11,LS_ES00574,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00480,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00155,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00417,LoadShed,LoadShed,0.0
2024-07-08,11,G0811,Wind,Onshore,0.0
2024-07-08,11,LS_ES00227,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00961,LoadShed,LoadShed,0.0
2024-07-08,11,G0448,Gas,Combined_cycle,0.0
2024-07-08,11,LS_ES01203,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES01166,LoadShed,LoadShed,0.0
2024-07-08,11,G0033,Wind,Onshore,0.0
2024-07-08,11,LS_ES00589,LoadShed,LoadShed,0.0
2024-07-08,11,LS_ES00382,LoadShed,LoadShed,0.0
2024-07-08,11,G0840,Wind,Onshore,0.0
2024-07-08,11,G0416,Wind,Onshore,0.0
2024-07-08,11,G0477,Wind,Onshore,0.0
