date,hour,bus_id,vm_pu,va_deg
2024-07-08,0,ES00360,1.0291,6.571
2024-07-08,0,ES00420,1.0178,-4.433
2024-07-08,0,ES00701,1.0379,2.418
2024-07-08,0,ES01177,1.016,-2.801
2024-07-08,0,ES00429,1.026,2.582
2024-07-08,0,ES01005,1.0228,-3.129
2024-07-08,0,ES00544,1.0289,0.604
2024-07-08,0,ES01028,1.0187,-4.225
2024-07-08,0,ES00770,1.0266,-0.053
2024-07-08,0,ES00615,1.0243,-0.401
2024-07-08,0,ES00748,1.0261,0.036
2024-07-08,0,ES00182,1.0301,4.121
2024-07-08,0,ES01007,1.0254,-1.485
2024-07-08,0,ES00916,1.0271,0.589
2024-07-08,0,ES00791,1.0261,14.199
2024-07-08,0,ES00242,1.03,9.486
2024-07-08,0,ES00922,1.0251,-3.027
2024-07-08,0,ES01220,1.028,-1.287
2024-07-08,0,ES00746,1.0286,-0.346
2024-07-08,0,ES01046,1.0273,7.332
2024-07-08,0,ES00898,1.0283,6.219
2024-07-08,0,ES00530,1.0379,2.437
2024-07-08,0,ES00491,1.0214,-3.341
2024-07-08,0,ES00461,1.0274,3.753
2024-07-08,0,ES00754,1.0367,6.158
2024-07-08,0,ES00703,1.0222,2.439
2024-07-08,0,ES00675,1.0272,1.499
2024-07-08,0,ES00045,1.0193,-4.309
2024-07-08,0,ES00439,1.0297,-7.802
2024-07-08,0,ES00532,1.0284,2.642
2024-07-08,0,ES00881,1.0277,-8.055
2024-07-08,0,ES00443,1.0236,3.586
2024-07-08,0,ES01016,1.0202,0.342
2024-07-08,0,ES00105,1.0267,-8.141
2024-07-08,0,ES00552,1.0272,-0.963
2024-07-08,0,ES00403,1.0259,-0.836
2024-07-08,0,ES00702,1.0279,-0.263
2024-07-08,0,ES00483,1.0276,0.661
2024-07-08,0,ES00737,1.0274,-3.432
2024-07-08,0,ES01235,1.0253,-8.543
2024-07-08,0,ES00753,1.0366,6.149
2024-07-08,0,ES00299,1.0231,-3.002
2024-07-08,0,ES00731,1.0204,3.031
2024-07-08,0,ES00395,1.0273,1.065
2024-07-08,0,ES01053,1.032,5.904
2024-07-08,0,ES00784,1.0224,-0.652
2024-07-08,0,ES01121,1.0219,-8.086
2024-07-08,0,ES00631,1.03,11.713
2024-07-08,0,ES00630,1.0307,12.175
2024-07-08,0,ES00050,1.0284,1.498
2024-07-08,0,ES00531,1.0272,2.383
2024-07-08,0,ES00165,1.03,2.317
2024-07-08,0,ES00063,1.0265,5.686
2024-07-08,0,ES00092,1.0275,5.586
2024-07-08,0,ES00217,1.0262,1.402
2024-07-08,0,ES00578,1.0258,-1.285
2024-07-08,0,ES00789,1.0302,2.231
2024-07-08,0,ES00960,1.0133,1.217
2024-07-08,0,ES01086,1.0266,1.568
2024-07-08,0,ES01013,1.0207,-0.982
2024-07-08,0,ES00678,1.0263,4.403
2024-07-08,0,ES00821,1.0239,3.913
2024-07-08,0,ES00728,1.0308,2.551
2024-07-08,0,ES00549,1.024,6.756
2024-07-08,0,ES00278,1.029,6.198
2024-07-08,0,ES00835,1.0248,2.191
2024-07-08,0,ES00951,1.0267,0.455
2024-07-08,0,ES00908,1.023,2.362
2024-07-08,0,ES00519,1.0248,-1.586
2024-07-08,0,ES00289,1.0226,-0.575
2024-07-08,0,ES00462,1.0307,7.424
